epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
0,76.09821,7533.72254,2.0927,0.63761677,0.0,383461.0,0.07395,0.96252,0.0,0.0,0.0,0.5521,2.44772,0.63709534,0.0,383461.0,0.01897,0.98031,0.0,0.0,0.0,0.55352,2.54757,0.63636538,0.0,383461.0,0.01975,0.96815,0.0,0.0,0.0,0.59363,
1,58.71821,6606.00461,1.835,0.37566595,2e-05,383461.0,0.05706,0.96255,0.0,0.0,0.0,0.53321,1.89057,0.17086902,0.0,383461.0,0.01466,0.98031,0.0,0.0,0.0,0.65462,1.8672,0.18890378,0.0,383461.0,0.01447,0.96839,0.0,0.0,0.0,0.64632,
2,52.53747,6057.77571,1.68272,0.16202668,4e-05,383461.0,0.05106,0.96255,0.0,0.0,0.0,0.65086,1.8596,0.09648612,0.0,383461.0,0.01442,0.98031,0.0,0.0,0.0,0.7406,1.84397,0.12905589,0.0,383461.0,0.01429,0.96839,0.0,0.0,0.0,0.72148,
3,52.66156,5760.37083,1.6001,0.14303359,6e-05,383461.0,0.05118,0.96255,0.0,0.0,0.0,0.72883,1.84664,0.09641761,0.0,383461.0,0.01432,0.98031,0.0,0.0,0.0,0.73358,1.8432,0.12784688,0.0,383461.0,0.01429,0.96839,0.0,0.0,0.0,0.73792,
4,52.63059,5560.27476,1.54452,0.1371877,8e-05,383461.0,0.05115,0.96255,0.0,0.0,0.0,0.76059,1.84855,0.08365783,0.0,383461.0,0.01433,0.98031,0.0,0.0,0.0,0.76064,1.83884,0.12168523,0.0,383461.0,0.01425,0.96839,0.0,0.0,0.0,0.7375,
5,42.3685,5248.56111,1.45793,0.1332063,0.0001,383461.0,0.04117,0.96255,0.0,0.0,0.0,0.77193,1.84659,0.094811,0.0,383461.0,0.01431,0.98031,0.0,0.0,0.0,0.71737,1.83889,0.1292211,0.0,383461.0,0.01425,0.96839,0.0,0.0,0.0,0.72056,
6,38.50068,4962.41646,1.37845,0.12779917,9.997e-05,383461.0,0.03742,0.96304,0.71053,0.02192,0.04252,0.79666,1.84543,0.08405266,0.0,383461.0,0.01431,0.98055,0.55556,0.06173,0.11111,0.76599,1.83797,0.1159487,0.0,383461.0,0.01425,0.97082,0.75,0.11538,0.2,0.75684,
7,38.60154,4739.3427,1.31648,0.12501571,9.989e-05,383461.0,0.03751,0.96426,0.64737,0.09984,0.173,0.80704,1.84634,0.08542254,0.0,383461.0,0.01431,0.98031,0.5,0.06173,0.10989,0.74326,1.83709,0.11916721,0.0,383461.0,0.01424,0.96985,0.63636,0.10769,0.18421,0.7377,
8,52.72034,4700.0195,1.30556,0.12181957,9.975e-05,383461.0,0.05123,0.96541,0.67029,0.15016,0.24536,0.81534,1.84793,0.08043184,0.0,383461.0,0.01433,0.98055,0.53333,0.09877,0.16667,0.77661,1.83718,0.11768077,0.0,383461.0,0.01424,0.96791,0.25,0.00769,0.01493,0.75755,
9,52.50319,4656.06255,1.29335,0.11991672,9.956e-05,383461.0,0.05102,0.96641,0.66494,0.20779,0.31664,0.81635,1.84723,0.08054582,0.0,383461.0,0.01432,0.98152,0.5641,0.2716,0.36667,0.78879,1.83763,0.11875574,0.0,383461.0,0.01425,0.96815,0.49231,0.24615,0.32821,0.75719,
10,52.19309,4608.04277,1.28001,0.11629896,9.932e-05,383461.0,0.05072,0.96733,0.67963,0.24107,0.3559,0.83315,1.84602,0.08817998,0.0,383461.0,0.01431,0.97885,0.42105,0.19753,0.26891,0.75735,1.83685,0.11336114,0.0,383461.0,0.01424,0.97131,0.64286,0.20769,0.31395,0.78044,
11,52.3699,4560.62399,1.26684,0.1138319,9.902e-05,383461.0,0.05089,0.96763,0.67579,0.26055,0.3761,0.83944,1.85292,0.07946526,0.0,383461.0,0.01436,0.98128,0.56667,0.20988,0.30631,0.78552,1.83822,0.11227937,0.0,383461.0,0.01425,0.97155,0.62264,0.25385,0.36066,0.77708,
12,52.48897,4513.24039,1.25368,0.11202826,9.867e-05,383461.0,0.05101,0.96848,0.69939,0.2776,0.39744,0.84422,1.84391,0.07632071,0.0,383461.0,0.01429,0.98225,0.61111,0.2716,0.37607,0.78849,1.83737,0.11446055,0.0,383461.0,0.01424,0.97034,0.57407,0.23846,0.33696,0.74989,
13,40.75296,4393.03482,1.22029,0.11216378,9.826e-05,383461.0,0.0396,0.96793,0.67525,0.27679,0.39263,0.84477,1.84342,0.07709941,0.0,383461.0,0.01429,0.98177,0.59375,0.23457,0.33628,0.78583,1.83639,0.10911065,0.0,383461.0,0.01424,0.97131,0.61538,0.24615,0.35165,0.7908,
14,38.49398,4270.62205,1.18628,0.10875923,9.78e-05,383461.0,0.03741,0.96854,0.68411,0.29708,0.41426,0.86055,1.84552,0.074958,0.0,383461.0,0.01431,0.98249,0.62162,0.28395,0.38983,0.80761,1.83558,0.11486665,0.0,383461.0,0.01423,0.96791,0.48387,0.23077,0.3125,0.77896,
15,38.49476,4158.70319,1.1552,0.10732847,9.729e-05,383461.0,0.03741,0.96979,0.73062,0.30601,0.43135,0.8607,1.84469,0.07610615,0.0,383461.0,0.0143,0.98079,0.52941,0.22222,0.31304,0.79057,1.83586,0.11246565,0.0,383461.0,0.01423,0.96864,0.50909,0.21538,0.3027,0.79812,
