epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch
55,104.07637,4471.71032,1.24214,0.06092389,4.587e-05,383461.0,0.10114,0.98046,0.83202,0.59903,0.69655,0.97497,3.17177,0.0956314,0.0,383461.0,0.02459,0.9786,0.44928,0.38272,0.41333,0.81242,3.15751,0.16000529,0.0,383461.0,0.02448,0.96523,0.42697,0.29231,0.34703,0.78105,True
30,104.59174,7263.02588,2.01751,0.0864686,8.386e-05,383461.0,0.10164,0.97359,0.74897,0.44318,0.55686,0.93271,3.17352,0.07362949,0.0,383461.0,0.0246,0.98225,0.6,0.2963,0.39669,0.8445,3.16865,0.13083498,0.0,383461.0,0.02456,0.96815,0.49351,0.29231,0.36715,0.76653,True
19,36.45905,3001.10324,0.83364,0.10233906,9.474e-05,383461.0,0.03543,0.97058,0.71019,0.36201,0.47957,0.88433,1.7796,0.07241574,0.0,383461.0,0.0138,0.98152,0.58621,0.20988,0.30909,0.81556,1.76181,0.12036628,0.0,383461.0,0.01366,0.97034,0.59091,0.2,0.29885,0.77533,True
31,35.88379,2529.1599,0.70254,0.08941506,8.263e-05,383461.0,0.03487,0.97374,0.75485,0.44237,0.55783,0.91856,1.77973,0.0766895,0.0,383461.0,0.0138,0.98371,0.71875,0.28395,0.40708,0.79191,1.76748,0.12449107,0.0,383461.0,0.0137,0.96669,0.45679,0.28462,0.35071,0.79233,True
49,52.13332,2433.22817,0.6759,0.06831363,5.577e-05,383461.0,0.05066,0.97812,0.80695,0.54627,0.6515,0.96705,1.87229,0.08084313,0.0,383461.0,0.01451,0.98079,0.51724,0.37037,0.43165,0.83072,1.86029,0.15027171,0.0,383461.0,0.01442,0.96791,0.48684,0.28462,0.35922,0.77513,True
28,74.22366,7057.63019,1.96045,0.08887619,8.622e-05,383461.0,0.07213,0.97347,0.74691,0.44075,0.55436,0.9254,3.21033,0.07475014,0.0,383461.0,0.02489,0.98249,0.59184,0.35802,0.44615,0.83182,3.20224,0.13362055,0.0,383461.0,0.02482,0.96718,0.46835,0.28462,0.35407,0.74669,True
52,53.72477,2497.5541,0.69377,0.0631944,5.083e-05,383461.0,0.05221,0.979,0.80223,0.58279,0.67513,0.97479,1.90581,0.0916457,0.0,383461.0,0.01477,0.98128,0.53333,0.39506,0.4539,0.81693,1.89352,0.16684399,0.0,383461.0,0.01468,0.96669,0.45977,0.30769,0.36866,0.78586,True
70,52.09418,1523.51542,0.4232,0.05068691,2.265e-05,383461.0,0.05063,0.98268,0.84696,0.65584,0.73925,0.98453,1.88622,0.09146013,0.0,383461.0,0.01462,0.98225,0.61111,0.2716,0.37607,0.85333,1.88386,0.1901138,0.0,383461.0,0.0146,0.96693,0.46154,0.27692,0.34615,0.78089,True
18,35.68112,2947.8658,0.81885,0.10116416,9.545e-05,383461.0,0.03468,0.97058,0.7129,0.35877,0.47732,0.88414,1.74566,0.07298525,0.0,383461.0,0.01353,0.98201,0.57778,0.32099,0.4127,0.80925,1.74104,0.11703303,0.0,383461.0,0.0135,0.96937,0.525,0.32308,0.4,0.77892,True
28,36.2415,2580.17039,0.71671,0.08977921,8.622e-05,383461.0,0.03522,0.97316,0.75549,0.41883,0.5389,0.91932,1.7859,0.07528516,0.0,383461.0,0.01384,0.98225,0.58696,0.33333,0.4252,0.80385,1.77763,0.12513806,0.0,383461.0,0.01378,0.96864,0.50704,0.27692,0.35821,0.76389,True
mean,58.510949999999994,3630.4963409999996,1.0084710000000001,0.08011611100000002,7.0424e-05,383461.0,0.056860999999999995,0.9755379999999999,0.7717470000000001,0.48498399999999997,0.592727,0.93658,2.2310830000000004,0.08053356399999999,0.0,383461.0,0.017294999999999998,0.981715,0.57725,0.322222,0.407186,0.821029,2.2214029999999996,0.141871876,0.0,383461.0,0.017220000000000003,0.967713,0.487672,0.28230900000000003,0.355005,0.774662,1.0
std,27.0117192414161,1999.5216849157496,0.5554225132965595,0.017931601352754272,2.4788050077944145e-05,0.0,0.02624894090985175,0.004216488270271047,0.04760484920444322,0.10353172065711176,0.09158458264843972,0.037124464829663056,0.6605426616224975,0.00892700527306666,0.0,0.0,0.005121781916481802,0.001346289138500488,0.0699051056790561,0.05774467013403825,0.04135583183381356,0.01887740945621984,0.6610105441426618,0.02404102286256473,0.0,0.0,0.0051233148991210314,0.0014866595665002083,0.045867601201719725,0.03224108126460883,0.025168907736861895,0.012912276501238832,0.0
