epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
0,192.0684,19014.77133,5.28188,0.69918599,0.0,6489318.0,0.28039,0.50145,0.49253,0.02232,12.33022,0.70090495,0.0,6489318.0,0.14337,0.50709,0.48957,0.02698,14.20734,0.70136334,0.0,6489318.0,0.1652,0.50772,0.49749,0.02787,
1,144.24718,16479.46316,4.57763,0.33596143,0.0001,6489318.0,0.21058,0.90966,0.54425,0.02992,9.26267,0.16932942,0.0,6489318.0,0.10771,0.95958,0.58848,0.04088,8.08911,0.1849574,0.0,6489318.0,0.09406,0.95896,0.58998,0.04164,
2,144.04552,15531.67526,4.31435,0.06394715,0.0002,6489318.0,0.21029,0.98015,0.64438,0.05229,7.79015,0.06336542,0.0,6489318.0,0.09058,0.97434,0.71414,0.08029,8.08905,0.06562901,0.0,6489318.0,0.09406,0.97315,0.71288,0.08039,
3,145.4717,15019.98699,4.17222,0.04697312,0.0003,6489318.0,0.21237,0.98164,0.76327,0.09374,7.72448,0.05599522,0.0,6489318.0,0.08982,0.97538,0.78221,0.11475,8.19364,0.05858923,0.0,6489318.0,0.09527,0.97415,0.78053,0.11744,
4,145.3077,14651.66937,4.06991,0.0441627,0.0004,6489318.0,0.21213,0.98227,0.80616,0.11891,7.99424,0.05278627,0.0,6489318.0,0.09296,0.97757,0.81654,0.14531,8.47438,0.05535552,0.0,6489318.0,0.09854,0.97629,0.81577,0.14915,
5,146.37498,14374.40915,3.99289,0.04253298,0.0005,6489318.0,0.21369,0.98271,0.82998,0.13858,7.8133,0.05487738,0.0,6489318.0,0.09085,0.97631,0.81262,0.14906,8.22879,0.05711577,0.0,6489318.0,0.09568,0.97519,0.81454,0.1508,
6,148.6367,14164.5932,3.93461,0.04117304,0.00049986,6489318.0,0.21699,0.98325,0.84608,0.15847,7.82783,0.05017101,0.0,6489318.0,0.09102,0.97841,0.84649,0.18224,8.17697,0.05269343,0.0,6489318.0,0.09508,0.97713,0.84129,0.17625,
7,144.86802,13926.73222,3.86854,0.0400101,0.00049945,6489318.0,0.21149,0.98361,0.85777,0.17824,7.85584,0.04867246,0.0,6489318.0,0.09135,0.97904,0.8542,0.20484,8.19073,0.05105624,0.0,6489318.0,0.09524,0.97778,0.85134,0.19337,
8,148.15874,13742.80922,3.81745,0.03911219,0.00049877,6489318.0,0.21629,0.98389,0.86475,0.19295,8.07639,0.04781498,0.0,6489318.0,0.09391,0.97941,0.86052,0.21164,8.28896,0.05030858,0.0,6489318.0,0.09638,0.97806,0.85575,0.20568,
9,144.80185,13535.82701,3.75995,0.03827593,0.00049782,6489318.0,0.21139,0.98423,0.87282,0.21054,7.82125,0.04724098,0.0,6489318.0,0.09094,0.9798,0.86153,0.22178,8.08751,0.04979254,0.0,6489318.0,0.09404,0.97827,0.85738,0.21878,
10,147.17266,13359.3324,3.71093,0.03751164,0.00049659,6489318.0,0.21485,0.98461,0.87897,0.22414,7.87061,0.04688077,0.0,6489318.0,0.09152,0.98012,0.86187,0.2195,8.14887,0.04909224,0.0,6489318.0,0.09475,0.97873,0.86183,0.21908,
