epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch
40,144.45121,8615.95885,2.39332,0.02707085,0.00035042,6489318.0,0.21088,0.98876,0.94991,0.48038,7.67148,0.04550937,0.0,6489318.0,0.0892,0.98088,0.87747,0.30034,7.98236,0.04765685,0.0,6489318.0,0.09282,0.97968,0.87758,0.29045,True
50,146.65905,7162.73918,1.98965,0.02499166,0.00027064,6489318.0,0.2141,0.98967,0.96164,0.53152,7.78462,0.04619962,0.0,6489318.0,0.09052,0.98086,0.87913,0.30013,8.06029,0.0487236,0.0,6489318.0,0.09372,0.97931,0.87107,0.28955,True
46,143.79497,7801.9607,2.16721,0.02563468,0.00030332,6489318.0,0.20992,0.98934,0.95931,0.51761,7.86834,0.0461416,0.0,6489318.0,0.09149,0.98089,0.88345,0.30072,8.14637,0.04870279,0.0,6489318.0,0.09473,0.97928,0.87429,0.28247,True
46,145.32934,7764.86866,2.15691,0.0257467,0.00030332,6489318.0,0.21216,0.98928,0.95827,0.51293,7.743,0.04555338,0.0,6489318.0,0.09003,0.98103,0.88084,0.30409,8.04016,0.04801001,0.0,6489318.0,0.09349,0.97977,0.87347,0.28327,True
51,186.39436,10707.59631,2.97433,0.02482378,0.0002624,6489318.0,0.27211,0.98973,0.96314,0.54059,10.97634,0.04658359,0.0,6489318.0,0.12763,0.98103,0.87845,0.29826,11.23226,0.04905381,0.0,6489318.0,0.13061,0.9793,0.87199,0.28824,True
56,147.89105,6351.65417,1.76435,0.02392554,0.00022113,6489318.0,0.2159,0.99015,0.96718,0.56744,7.92542,0.04711213,0.0,6489318.0,0.09216,0.98079,0.87446,0.30704,8.23826,0.04964473,0.0,6489318.0,0.09579,0.9792,0.87079,0.28533,True
39,146.51617,8800.52508,2.44459,0.02729195,0.00035794,6489318.0,0.21389,0.98856,0.94852,0.4724,7.75516,0.04495838,0.0,6489318.0,0.09018,0.98102,0.88119,0.29841,8.08097,0.04719444,0.0,6489318.0,0.09396,0.97977,0.87689,0.28663,True
42,144.21705,8531.16989,2.36977,0.02659925,0.00033507,6489318.0,0.21054,0.98896,0.95299,0.49103,7.89783,0.04567339,0.0,6489318.0,0.09184,0.98063,0.88012,0.30335,8.1601,0.0480693,0.0,6489318.0,0.09488,0.97948,0.87684,0.28006,True
48,148.98122,7607.12951,2.11309,0.02537585,0.00028707,6489318.0,0.21749,0.98947,0.95969,0.52422,8.25733,0.04655969,0.0,6489318.0,0.09602,0.98062,0.87762,0.29846,8.49552,0.04909493,0.0,6489318.0,0.09879,0.97943,0.87357,0.28975,True
66,113.25956,3800.26933,1.05563,0.02248102,0.00014206,6489318.0,0.16534,0.99076,0.97337,0.60312,6.09861,0.04878559,0.0,6489318.0,0.07091,0.98052,0.87167,0.29781,6.31479,0.05155429,0.0,6489318.0,0.07343,0.97906,0.86267,0.28212,True
mean,146.74939799999999,7714.387167999999,2.142885,0.025394128,0.00028333699999999993,6489318.0,0.21423299999999998,0.9894679999999999,0.9594019999999999,0.5241239999999999,7.997812999999999,0.046307674,0.0,6489318.0,0.09299800000000001,0.9808269999999999,0.8784400000000001,0.300861,8.275108,0.048770474999999994,0.0,6489318.0,0.096222,0.9794280000000001,0.872916,0.28578700000000007,1.0
std,17.391181935569023,1798.8378634357732,0.49967661567257676,0.0014597631723658312,6.496416876504565e-05,0.0,0.025389356934659765,0.0006565363660910185,0.0076418886554452,0.03985298460871184,1.1950685442085183,0.0010747234429088152,0.0,0.0,0.013896523785944933,0.00018403200204794533,0.00341577711997334,0.0030454572727260454,1.1968510740067502,0.0012247574096326188,0.0,0.0,0.013917343935615813,0.00024489453512346144,0.004337580482762744,0.0036837331608030465,0.0
