epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
0,33.27548,66517.68601,18.47714,1.7264836,0.0,273977.0,0.10631,1.72648,-0.21478,-0.28229,4.91183,2.21627,0.41953,1.71388663,0.0,273977.0,0.01311,1.71389,-0.25201,-0.30411,4.93134,2.22066,0.4039,1.80503626,0.0,273977.0,0.01262,1.80504,-0.23153,-0.27889,5.01023,2.23835,
1,6.88759,40122.90928,11.14525,1.21279809,2e-05,273977.0,0.02201,1.2128,0.25904,0.56482,2.99599,1.73089,0.30236,0.82050486,0.0,273977.0,0.00945,0.8205,0.54023,0.80346,1.81093,1.34571,0.31383,0.88024654,0.0,273977.0,0.00981,0.88025,0.60745,0.80566,1.59702,1.26373,
2,6.82956,31281.42674,8.68929,0.70642102,4e-05,273977.0,0.02182,0.70642,0.63772,0.86475,1.46483,1.2103,0.30232,0.54598829,0.0,273977.0,0.00945,0.54599,0.70097,0.91869,1.17782,1.08527,0.29802,0.57453498,0.0,273977.0,0.00931,0.57453,0.77036,0.91573,0.93426,0.96657,
3,6.81634,26850.67614,7.45852,0.58760937,6e-05,273977.0,0.02178,0.58761,0.70858,0.90865,1.17832,1.08551,0.30143,0.51522276,0.0,273977.0,0.00942,0.51522,0.71916,0.93431,1.10616,1.05174,0.30008,0.51676071,0.0,273977.0,0.00938,0.51676,0.79773,0.93295,0.8229,0.90714,
4,6.91102,24227.27573,6.7298,0.54024006,8e-05,273977.0,0.02208,0.54024,0.73091,0.92011,1.08803,1.04309,0.31088,0.51551165,0.0,273977.0,0.00971,0.51551,0.708,0.94012,1.15012,1.07244,0.31455,0.50999743,0.0,273977.0,0.00983,0.51,0.78608,0.94143,0.87028,0.93289,
5,6.8576,22458.28582,6.23841,0.51027897,0.0001,273977.0,0.02191,0.51028,0.7513,0.93,1.0056,1.00279,0.30234,0.43147416,0.0,273977.0,0.00945,0.43147,0.74942,0.9537,0.98697,0.99346,0.30232,0.43657259,0.0,273977.0,0.00945,0.43657,0.83723,0.9499,0.6622,0.81375,
6,6.82845,21184.4636,5.88457,0.47953738,0.00012,273977.0,0.02182,0.47954,0.76736,0.93818,0.94065,0.96987,0.3019,0.43114155,0.0,273977.0,0.00943,0.43114,0.75986,0.95727,0.94586,0.97255,0.30009,0.41089842,0.0,273977.0,0.00938,0.4109,0.86252,0.96043,0.55932,0.74788,
7,6.83423,20228.82827,5.61912,0.45789975,0.00014,273977.0,0.02183,0.4579,0.78474,0.94354,0.87039,0.93295,0.29954,0.4746182,0.0,273977.0,0.00936,0.47462,0.73708,0.95538,1.03559,1.01764,0.29806,0.46614287,0.0,273977.0,0.00931,0.46614,0.85698,0.95438,0.58185,0.76279,
8,6.85965,19489.66072,5.41379,0.44724503,0.00016,273977.0,0.02192,0.44725,0.78926,0.94535,0.85209,0.92309,0.30291,0.39915169,0.0,273977.0,0.00947,0.39915,0.77008,0.96091,0.9056,0.95163,0.31408,0.39318372,0.0,273977.0,0.00982,0.39318,0.89058,0.95908,0.44517,0.66721,
9,6.87368,18899.74662,5.24993,0.43612851,0.00018,273977.0,0.02196,0.43613,0.80065,0.94886,0.80605,0.8978,0.30427,0.40204727,0.0,273977.0,0.00951,0.40205,0.78161,0.96524,0.86017,0.92746,0.3009,0.38807091,0.0,273977.0,0.0094,0.38807,0.90251,0.96614,0.39662,0.62978,
10,6.85555,18412.56184,5.1146,0.42403274,0.0002,273977.0,0.0219,0.42403,0.80489,0.95059,0.78889,0.8882,0.3031,0.38581862,0.0,273977.0,0.00947,0.38582,0.78365,0.96751,0.85215,0.92312,0.30086,0.34655691,0.0,273977.0,0.0094,0.34656,0.91192,0.96655,0.35834,0.59862,
11,6.8378,18002.49107,5.00069,0.4149878,0.00022,273977.0,0.02185,0.41499,0.80797,0.95331,0.77647,0.88118,0.2992,0.34960029,0.0,273977.0,0.00935,0.3496,0.79734,0.96797,0.79822,0.89343,0.29806,0.33282472,0.0,273977.0,0.00931,0.33282,0.91201,0.96847,0.35796,0.5983,
12,6.81925,17651.62092,4.90323,0.40352859,0.00024,273977.0,0.02179,0.40353,0.81279,0.95659,0.75697,0.87004,0.32483,0.33857855,0.0,273977.0,0.01015,0.33858,0.79514,0.97289,0.80688,0.89826,0.30301,0.31268799,0.0,273977.0,0.00947,0.31269,0.92315,0.97328,0.31266,0.55916,
13,6.85231,17354.59072,4.82072,0.39378879,0.00026,273977.0,0.02189,0.39379,0.81717,0.9569,0.73926,0.8598,0.30198,0.35892274,0.0,273977.0,0.00944,0.35892,0.79857,0.9712,0.79338,0.89072,0.31213,0.32292827,0.0,273977.0,0.00975,0.32293,0.92096,0.97325,0.32157,0.56707,
14,6.85099,17096.07579,4.74891,0.38316076,0.00028,273977.0,0.02189,0.38316,0.82311,0.95911,0.71524,0.84572,0.30187,0.36568361,0.0,273977.0,0.00943,0.36568,0.79511,0.97119,0.80703,0.89835,0.30028,0.33745007,0.0,273977.0,0.00938,0.33745,0.91586,0.97275,0.34229,0.58506,
15,6.86798,16871.12632,4.68642,0.37840568,0.0003,273977.0,0.02194,0.37841,0.8227,0.96161,0.7169,0.8467,0.30122,0.37286677,0.0,273977.0,0.00941,0.37287,0.79644,0.97075,0.80176,0.89541,0.30837,0.35617819,0.0,273977.0,0.00964,0.35618,0.88753,0.9718,0.45755,0.67643,
16,6.85542,16670.36878,4.63066,0.35308392,0.00032,273977.0,0.0219,0.35308,0.83059,0.96525,0.68497,0.82763,0.30626,0.35902736,0.0,273977.0,0.00957,0.35903,0.79403,0.97579,0.81128,0.90071,0.31998,0.3490632,0.0,273977.0,0.01,0.34906,0.90797,0.97335,0.37441,0.61189,
17,6.84745,16490.27812,4.58063,0.36051919,0.00034,273977.0,0.02188,0.36052,0.83121,0.96398,0.68248,0.82612,0.30778,0.29862156,0.0,273977.0,0.00962,0.29862,0.8175,0.9775,0.71882,0.84784,0.30098,0.28527981,0.0,273977.0,0.00941,0.28528,0.93255,0.97666,0.2744,0.52383,
