epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch
1426,6.93675,3966.24127,1.10173,0.021539,0.00019899,273977.0,0.02216,0.02154,0.99969,0.99987,0.00126,0.03546,0.30294,0.07975296,0.0,273977.0,0.00947,0.07975,0.97034,0.99724,0.11683,0.34181,0.30101,0.0666257,0.0,273977.0,0.00941,0.06663,0.99253,0.99762,0.03041,0.17438,True
1275,13.05716,9452.35691,2.62565,0.02773322,0.00030402,273977.0,0.04172,0.02773,0.99951,0.99978,0.002,0.04468,0.31851,0.08859361,0.0,273977.0,0.00995,0.08859,0.95677,0.99727,0.17029,0.41266,0.31652,0.07938324,0.0,273977.0,0.00989,0.07938,0.99005,0.99654,0.04047,0.20118,True
1105,6.83665,6169.49952,1.71375,0.03421303,0.00043574,273977.0,0.02184,0.03421,0.99938,0.99968,0.00252,0.05023,0.30513,0.0867309,0.0,273977.0,0.00954,0.08673,0.96949,0.99702,0.12015,0.34663,0.30548,0.07440048,0.0,273977.0,0.00955,0.0744,0.9922,0.99659,0.03174,0.17817,True
1617,13.01132,4755.61014,1.321,0.01765441,9.22e-05,273977.0,0.04157,0.01765,0.99978,0.99991,0.00088,0.02961,0.33193,0.07870143,0.0,273977.0,0.01037,0.0787,0.97226,0.99739,0.10926,0.33055,0.32156,0.06854492,0.0,273977.0,0.01005,0.06854,0.99129,0.9967,0.03542,0.18821,True
1175,13.54907,10965.13081,3.04587,0.03351027,0.00038034,273977.0,0.04329,0.03351,0.99906,0.99967,0.00381,0.0617,0.32261,0.08542204,0.0,273977.0,0.01008,0.08542,0.96421,0.9968,0.14098,0.37547,0.31613,0.07556464,0.0,273977.0,0.00988,0.07556,0.99039,0.99684,0.0391,0.19774,True
1128,8.13954,5986.3075,1.66286,0.03231975,0.00041741,273977.0,0.026,0.03232,0.99909,0.99971,0.0037,0.06081,0.35843,0.07925268,0.0,273977.0,0.0112,0.07925,0.97839,0.99707,0.08511,0.29173,0.3438,0.07498858,0.0,273977.0,0.01074,0.07499,0.98897,0.99682,0.04489,0.21187,True
1436,6.87969,3915.68695,1.08769,0.02185123,0.00019259,273977.0,0.02198,0.02185,0.99978,0.99987,0.00091,0.03012,0.30052,0.08582857,0.0,273977.0,0.00939,0.08583,0.97363,0.99688,0.10385,0.32226,0.30753,0.07797943,0.0,273977.0,0.00961,0.07798,0.98914,0.99633,0.04417,0.21017,True
1343,10.07527,6794.54875,1.88737,0.02398854,0.0002549,273977.0,0.03219,0.02399,0.99968,0.99985,0.00129,0.03586,0.31965,0.08932486,0.0,273977.0,0.00999,0.08932,0.95938,0.99687,0.15999,0.39999,0.31762,0.07301947,0.0,273977.0,0.00993,0.07302,0.99204,0.99646,0.03239,0.17997,True
1642,13.15157,4619.41085,1.28317,0.01745024,8.088e-05,273977.0,0.04202,0.01745,0.99971,0.9999,0.00116,0.03408,0.33477,0.08017566,0.0,273977.0,0.01046,0.08018,0.9775,0.99707,0.08862,0.29769,0.32037,0.0801927,0.0,273977.0,0.01001,0.08019,0.98698,0.99577,0.05298,0.23017,True
1209,13.21375,10361.78781,2.87827,0.03156524,0.00035394,273977.0,0.04222,0.03157,0.99905,0.99971,0.00384,0.06197,0.33153,0.07756904,0.0,273977.0,0.01036,0.07757,0.97953,0.99689,0.08062,0.28394,0.3247,0.07572352,0.0,273977.0,0.01015,0.07572,0.99215,0.99648,0.03192,0.17867,True
mean,10.485077,6698.658051000001,1.860736,0.026182493,0.00027110100000000005,273977.0,0.033498999999999994,0.026182,0.9994730000000001,0.9997950000000001,0.002137,0.044452000000000005,0.322602,0.08313517500000002,0.0,273977.0,0.010081,0.083134,0.97015,0.9970500000000001,0.11757,0.34027299999999994,0.31747200000000003,0.074642268,0.0,273977.0,0.009922,0.07464099999999999,0.990574,0.9966149999999999,0.03834900000000001,0.195053,1.0
std,3.009454622179352,2652.264182555738,0.7367396865952345,0.006509362671840975,0.00012832575124355292,0.0,0.009617079078389656,0.00650992712026111,0.0003056523079142927,9.54812372493625e-05,0.0012398122617737109,0.013305568424953182,0.01764893814873229,0.004465073195966545,0.0,0.0,0.0005503625067979185,0.0044639474309927365,0.007868640995185324,0.00019754043186704428,0.030998992815179583,0.04453431512141322,0.011957776456255474,0.004355016507410482,0.0,0.0,0.00037207526120396653,0.004353964859757139,0.0018095376941823246,0.00046591010100898095,0.007363007311327802,0.018392129385509808,0.0
