epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,90.68071,8977.39072,2.49372,0.74252585,0.0,558693.0,0.08813,0.03775,0.03743,0.99919,0.07215,0.50046,3.72443,0.73901531,0.0,558693.0,0.02887,0.02188,0.01974,1.0,0.03871,0.51675,3.89131,0.74239351,0.0,558693.0,0.03017,0.03477,0.03171,1.0,0.06147,0.59058,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,82.31225,8476.65549,2.35463,0.47443297,2e-05,558693.0,0.07999,0.85788,0.04517,0.1388,0.06815,0.53608,3.10748,0.24645901,0.0,558693.0,0.02409,0.98031,0.0,0.0,0.0,0.56249,3.08401,0.25393492,0.0,558693.0,0.02391,0.96839,0.0,0.0,0.0,0.61746,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,82.63877,8265.42633,2.29595,0.18185152,4e-05,558693.0,0.08031,0.96255,0.0,0.0,0.0,0.6071,3.13706,0.09916041,0.0,558693.0,0.02432,0.98031,0.0,0.0,0.0,0.6898,3.12065,0.13249477,0.0,558693.0,0.02419,0.96839,0.0,0.0,0.0,0.6758,,0.9895,1.0105,0.9857,1.0143,0.9921,1.0079,0.9921,1.0079,0.9933,1.0067,0.9893,1.0107,0.9958,1.0042,0.9898,1.0102,0.9941,1.0059,0.9811,1.0189
3,80.23271,8060.74675,2.2391,0.14765877,6e-05,558693.0,0.07797,0.96255,0.0,0.0,0.0,0.70374,3.1678,0.09262389,0.0,558693.0,0.02456,0.98031,0.0,0.0,0.0,0.70013,3.24674,0.12270574,0.0,558693.0,0.02517,0.96839,0.0,0.0,0.0,0.73388,,0.9841,1.0159,0.9792,1.0208,0.9878,1.0122,0.9876,1.0124,0.9941,1.0059,0.9845,1.0155,0.9955,1.0045,0.9924,1.0076,1.0006,0.9994,0.9833,1.0167
4,89.66102,8084.98386,2.24583,0.13888636,8e-05,558693.0,0.08713,0.96292,0.59677,0.03003,0.05719,0.7439,3.20851,0.08526925,0.0,558693.0,0.02487,0.98152,0.69231,0.11111,0.19149,0.7354,3.26585,0.11840917,0.0,558693.0,0.02532,0.97058,0.90909,0.07692,0.14184,0.74187,,0.9849,1.0151,0.9807,1.0193,0.9889,1.0111,0.9935,1.0065,1.0015,0.9985,0.9814,1.0186,0.9962,1.0038,0.995,1.005,1.0038,0.9962,0.9889,1.0111
5,81.65222,7945.78381,2.20716,0.13260655,0.0001,558693.0,0.07935,0.96383,0.61667,0.0901,0.15722,0.77083,3.20419,0.08938469,0.0,558693.0,0.02484,0.98104,0.56522,0.16049,0.25,0.75203,3.19511,0.12264703,0.0,558693.0,0.02477,0.96912,0.52941,0.20769,0.29834,0.75353,,0.9889,1.0111,0.9853,1.0147,0.9919,1.0081,0.9999,1.0001,1.0088,0.9912,0.9823,1.0177,0.9981,1.0019,0.9981,1.0019,1.0082,0.9918,0.9945,1.0055
6,85.50905,7874.26664,2.1873,0.12748018,9.997e-05,558693.0,0.0831,0.96444,0.60333,0.14692,0.23629,0.79131,3.15628,0.08050135,0.0,558693.0,0.02447,0.98104,0.56,0.17284,0.26415,0.76349,3.12361,0.1158531,0.0,558693.0,0.02421,0.97107,0.61702,0.22308,0.32768,0.74287,,0.9931,1.0069,0.9935,1.0065,0.9967,1.0033,1.0083,0.9917,1.0178,0.9822,0.9846,1.0154,0.9992,1.0008,1.0006,0.9994,1.0121,0.9879,0.9988,1.0012
7,83.38654,7774.84273,2.15968,0.12448706,9.989e-05,558693.0,0.08104,0.96559,0.63514,0.19075,0.29338,0.79122,3.11561,0.08265034,0.0,558693.0,0.02415,0.98201,0.66667,0.17284,0.27451,0.72099,3.12733,0.11491418,0.0,558693.0,0.02424,0.97107,0.65714,0.17692,0.27879,0.74848,,1.0017,0.9983,1.0017,0.9983,0.9998,1.0002,1.0125,0.9875,1.0244,0.9756,0.9882,1.0118,1.0048,0.9952,1.0057,0.9943,1.0167,0.9833,1.0031,0.9969
8,79.89179,7643.64679,2.12324,0.1195675,9.975e-05,558693.0,0.07764,0.96553,0.61187,0.21753,0.32096,0.81518,3.13607,0.08523733,0.0,558693.0,0.02431,0.98177,0.61538,0.19753,0.29907,0.73904,3.1241,0.11932571,0.0,558693.0,0.02422,0.97034,0.7,0.10769,0.18667,0.7549,,1.0022,0.9978,1.0049,0.9951,1.0025,0.9975,1.0181,0.9819,1.0307,0.9693,0.9912,1.0088,1.0088,0.9912,1.0107,0.9893,1.0217,0.9783,1.008,0.992
9,78.92842,7514.04137,2.08723,0.11827699,9.956e-05,558693.0,0.0767,0.9666,0.63434,0.25487,0.36364,0.81905,3.12757,0.07554276,0.0,558693.0,0.02424,0.98249,0.62162,0.28395,0.38983,0.79503,3.11567,0.11121344,0.0,558693.0,0.02415,0.97131,0.60345,0.26923,0.37234,0.77302,,1.0095,0.9905,1.0101,0.9899,1.0074,0.9926,1.0244,0.9756,1.0353,0.9647,0.9918,1.0082,1.0099,0.9901,1.012,0.988,1.0223,0.9777,1.0115,0.9885
