epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0.0,86.85683,8598.82564,2.38856,0.69543,0.0,558693.0,0.08441,0.53535,0.02385,0.44773,0.04198,0.51071,3.76923,0.6955,0.0,558693.0,0.02922,0.53897,0.01247,0.44691,0.02368,0.52274,3.9778,0.69529,0.0,558693.0,0.03084,0.53535,0.02111,0.45077,0.03882,0.51274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,74.79788,7921.08082,2.2003,0.39787,2e-05,558693.0,0.07269,0.89458,0.02257,0.08003,0.02741,0.5442,3.18655,0.18614,0.0,558693.0,0.0247,0.98021,0.0,0.0,0.0,0.58907,3.19616,0.20206,0.0,558693.0,0.02478,0.96829,0.0,0.0,0.0,0.61259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,76.06312,7686.2098,2.13506,0.16716,4e-05,558693.0,0.07392,0.96254,0.02857,0.00016,0.00032,0.63478,3.22874,0.09761,0.0,558693.0,0.02503,0.98031,0.0,0.0,0.0,0.70412,3.27761,0.1294,0.0,558693.0,0.02541,0.96839,0.0,0.0,0.0,0.71676,0.99226,1.00774,0.98975,1.01025,0.99049,1.00951,0.99316,1.00684,0.99075,1.00925,0.99255,1.00744,0.99185,1.00815,0.98928,1.01072,0.98561,1.01439,0.98048,1.01952
3.0,79.20355,7606.11303,2.11281,0.14643,6e-05,558693.0,0.07697,0.96256,0.05417,0.00106,0.00207,0.71428,3.22602,0.09093,0.0,558693.0,0.02501,0.98031,0.0,0.0,0.0,0.72709,3.2505,0.12403,0.0,558693.0,0.0252,0.96839,0.0,0.0,0.0,0.7398,0.99328,1.00671,0.99054,1.00946,0.98989,1.01011,0.99217,1.00783,0.98813,1.01187,0.99209,1.00791,0.99246,1.00754,0.99044,1.00956,0.98795,1.01205,0.98087,1.01913
4.0,77.72928,7498.36251,2.08288,0.13885,8e-05,558693.0,0.07554,0.96261,0.30152,0.01015,0.01915,0.74892,3.2659,0.08826,0.0,558693.0,0.02532,0.98028,0.21787,0.04815,0.07418,0.74031,3.24541,0.12261,0.0,558693.0,0.02516,0.96827,0.18485,0.05462,0.07551,0.7443,0.99583,1.00416,0.99328,1.00672,0.99333,1.00667,0.99568,1.00432,0.99142,1.00858,0.99302,1.00698,0.99431,1.00569,0.99155,1.00845,0.98986,1.01014,0.98403,1.01596
5.0,75.7344,7369.36586,2.04705,0.13284,0.0001,558693.0,0.0736,0.96302,0.47136,0.03571,0.06364,0.77418,3.14074,0.08805,0.0,558693.0,0.02435,0.98074,0.52112,0.07037,0.11525,0.73355,3.16192,0.12211,0.0,558693.0,0.02451,0.9691,0.37882,0.07,0.10791,0.75233,1.00032,0.99967,0.99982,1.00019,0.99998,1.00002,1.00209,0.99792,0.99693,1.00308,0.99595,1.00405,0.99717,1.00284,0.99475,1.00525,0.9921,1.0079,0.98722,1.01278
6.0,75.83541,7256.92909,2.01581,0.12757,0.0001,558693.0,0.0737,0.96361,0.47717,0.08831,0.14728,0.79311,3.16143,0.0845,0.0,558693.0,0.02451,0.98091,0.57163,0.12346,0.19233,0.7461,3.13447,0.11964,0.0,558693.0,0.0243,0.9691,0.45351,0.10692,0.15648,0.75353,1.0061,0.9939,1.00837,0.99163,1.00582,0.99418,1.0089,0.9911,1.00343,0.99657,1.00037,0.99963,1.00117,0.99883,0.99832,1.00168,0.9953,1.00471,0.99021,1.00979
7.0,75.40439,7148.68582,1.98575,0.12364,0.0001,558693.0,0.07328,0.96492,0.57285,0.14943,0.23587,0.80394,3.20885,0.08326,0.0,558693.0,0.02488,0.98106,0.5361,0.17037,0.25385,0.74975,3.23081,0.11897,0.0,558693.0,0.02504,0.96895,0.49138,0.13769,0.20679,0.75463,1.01141,0.98859,1.01524,0.98475,1.0116,0.9884,1.015,0.985,1.00932,0.99068,1.00458,0.99542,1.00579,0.99421,1.00254,0.99746,0.99851,1.00149,0.99289,1.00712
8.0,74.39048,7037.48837,1.95486,0.11984,0.0001,558693.0,0.0723,0.96567,0.64332,0.18977,0.28755,0.81893,3.20076,0.08229,0.0,558693.0,0.02481,0.98172,0.62469,0.18148,0.27988,0.75415,3.21764,0.11883,0.0,558693.0,0.02494,0.96934,0.58476,0.11923,0.19169,0.75914,1.01513,0.98486,1.02079,0.97921,1.01708,0.98292,1.02013,0.97987,1.01396,0.98604,1.00843,0.99157,1.00911,0.99089,1.00544,0.99456,1.00132,0.99868,0.99526,1.00474
9.0,74.20701,6932.00112,1.92556,0.11707,0.0001,558693.0,0.07212,0.96656,0.65229,0.22906,0.33778,0.82708,3.20024,0.07943,0.0,558693.0,0.02481,0.98128,0.58072,0.22346,0.31649,0.76973,3.19301,0.11862,0.0,558693.0,0.02475,0.96939,0.58784,0.18,0.25804,0.75718,1.01881,0.98119,1.02599,0.97402,1.02258,0.97742,1.02538,0.97463,1.01852,0.98148,1.01168,0.98832,1.01235,0.98765,1.00759,0.99241,1.00338,0.99661,0.99656,1.00344
