epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,465.95127,46129.17617,12.81366,0.69664863,0.0,9744870.0,0.68022,0.51343,0.50994,0.0233,18.66435,0.703675,0.0,9744870.0,0.21703,0.48183,0.5123,0.02752,17.79079,0.70479365,0.0,9744870.0,0.20687,0.47958,0.50461,0.02797,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,257.11344,35430.17119,9.84171,0.34985139,0.0001,9744870.0,0.37535,0.91847,0.541,0.02948,12.92424,0.11757121,0.0,9744870.0,0.15028,0.97325,0.61194,0.04383,13.66637,0.11870948,0.0,9744870.0,0.15891,0.97186,0.60055,0.04476,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,253.48727,31575.18089,8.77088,0.06996238,0.0002,9744870.0,0.37005,0.97952,0.62236,0.0423,14.64012,0.06805406,0.0,9744870.0,0.17023,0.9762,0.72799,0.07302,13.60005,0.06895214,0.0,9744870.0,0.15814,0.97473,0.72403,0.07507,,1.0284,0.9716,1.0071,0.9929,0.9972,1.0028,0.9866,1.0134,0.9963,1.0037
3,255.24372,29563.09686,8.21197,0.04865492,0.0003,9744870.0,0.37262,0.98115,0.73851,0.08186,12.9703,0.05584764,0.0,9744870.0,0.15082,0.9763,0.77761,0.11531,13.63836,0.05837192,0.0,9744870.0,0.15859,0.97506,0.77687,0.11887,,1.0304,0.9696,1.0141,0.9859,1.002,0.998,0.994,1.006,1.0168,0.9832
4,256.60424,28279.59895,7.85544,0.04496684,0.0004,9744870.0,0.3746,0.98192,0.79651,0.11109,12.90859,0.05502805,0.0,9744870.0,0.1501,0.97639,0.8063,0.13916,13.63018,0.05754931,0.0,9744870.0,0.15849,0.97479,0.80207,0.13593,,1.0338,0.9662,1.0157,0.9843,1.0064,0.9936,1.0029,0.9971,1.0426,0.9574
5,255.3172,27318.2353,7.5884,0.04294571,0.0005,9744870.0,0.37273,0.98257,0.82413,0.13561,12.97105,0.05277703,0.0,9744870.0,0.15083,0.97739,0.81894,0.1609,13.61671,0.05511135,0.0,9744870.0,0.15833,0.97591,0.82101,0.1579,,1.0386,0.9614,1.0197,0.9803,1.013,0.987,1.0264,0.9736,1.1046,0.8954
6,258.44617,26600.1698,7.38894,0.04125034,0.00049986,9744870.0,0.37729,0.98316,0.84601,0.15722,13.40318,0.05068489,0.0,9744870.0,0.15585,0.97874,0.84061,0.18217,14.11713,0.05295855,0.0,9744870.0,0.16415,0.97732,0.83861,0.17545,,1.0443,0.9557,1.0271,0.9729,1.0255,0.9745,1.0706,0.9294,1.1972,0.8028
7,260.51468,26020.79701,7.228,0.03997555,0.00049945,9744870.0,0.38031,0.98363,0.85637,0.17886,13.40522,0.04888094,0.0,9744870.0,0.15587,0.97886,0.855,0.19401,14.08686,0.05142948,0.0,9744870.0,0.1638,0.97749,0.85031,0.18786,,1.0486,0.9514,1.0377,0.9623,1.0432,0.9568,1.1315,0.8685,1.2808,0.7192
8,258.02354,25487.09332,7.07975,0.03891531,0.00049877,9744870.0,0.37668,0.98395,0.86645,0.19604,13.43342,0.04876335,0.0,9744870.0,0.1562,0.97916,0.85763,0.20401,14.06843,0.05104342,0.0,9744870.0,0.16359,0.97781,0.85405,0.19806,,1.0553,0.9446,1.0526,0.9474,1.0679,0.9321,1.2101,0.7899,1.3536,0.6464
9,260.23647,25028.44207,6.95235,0.03807915,0.00049782,9744870.0,0.37991,0.98431,0.87345,0.21161,13.36137,0.04750488,0.0,9744870.0,0.15536,0.97977,0.86149,0.21403,14.11743,0.04984796,0.0,9744870.0,0.16416,0.97833,0.86061,0.20998,,1.0647,0.9353,1.0738,0.9261,1.1078,0.8922,1.2972,0.7028,1.4187,0.5813
