epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
43,258.59481,14452.42565,4.01456,0.025455,0.00032725,9744870.0,0.37751,0.98944,0.95794,0.52036,13.17539,0.04527388,0.0,9744870.0,0.1532,0.98134,0.8797,0.30116,13.75022,0.04790627,0.0,9744870.0,0.15989,0.97972,0.87204,0.28996,True,1.4878,0.5122,1.7937,0.2063,1.7153,0.2847,1.6197,0.3803,1.6485,0.3515
50,261.23029,12886.60415,3.57961,0.02402995,0.00027064,9744870.0,0.38136,0.99002,0.96458,0.55979,14.09941,0.04595234,0.0,9744870.0,0.16395,0.98108,0.87872,0.30034,14.86001,0.04855052,0.0,9744870.0,0.17279,0.97971,0.87202,0.28708,True,1.48,0.52,1.7901,0.2099,1.7049,0.2951,1.6372,0.3628,1.6506,0.3494
46,258.82435,13685.31084,3.80148,0.02476809,0.00030332,9744870.0,0.37785,0.98978,0.96136,0.54027,12.82716,0.0453685,0.0,9744870.0,0.14915,0.98114,0.87816,0.3014,15.00745,0.04802667,0.0,9744870.0,0.17451,0.98002,0.87408,0.28887,True,1.5045,0.4955,1.7941,0.2059,1.6931,0.3069,1.6144,0.3856,1.6567,0.3433
52,259.89488,12115.58147,3.36544,0.02344498,0.00025413,9744870.0,0.37941,0.99031,0.96821,0.57516,13.34805,0.04646724,0.0,9744870.0,0.15521,0.98124,0.87821,0.30405,14.02012,0.04903249,0.0,9744870.0,0.16302,0.97985,0.87243,0.29057,True,1.4967,0.5033,1.8178,0.1822,1.7278,0.2722,1.607,0.393,1.623,0.377
61,264.13527,9989.12175,2.77476,0.02187535,0.00018065,9744870.0,0.3856,0.9909,0.97443,0.61677,13.61796,0.04707976,0.0,9744870.0,0.15835,0.98109,0.87246,0.30083,14.35483,0.04978931,0.0,9744870.0,0.16692,0.97971,0.8676,0.291,True,1.4958,0.5042,1.7634,0.2366,1.6895,0.3105,1.6019,0.3981,1.6255,0.3745
40,257.92095,15328.42126,4.25789,0.02592784,0.00035042,9744870.0,0.37653,0.98923,0.95557,0.50764,13.30732,0.04527008,0.0,9744870.0,0.15474,0.9811,0.88251,0.30066,15.76948,0.04741384,0.0,9744870.0,0.18337,0.97985,0.87664,0.28936,True,1.4829,0.5171,1.7814,0.2186,1.7435,0.2565,1.622,0.378,1.6505,0.3495
55,259.3166,11586.19499,3.21839,0.02300358,0.00022936,9744870.0,0.37856,0.99047,0.96985,0.58713,13.1832,0.04653167,0.0,9744870.0,0.15329,0.981,0.87523,0.29965,13.91864,0.04929736,0.0,9744870.0,0.16184,0.97955,0.87021,0.28194,True,1.5174,0.4826,1.7477,0.2523,1.6843,0.3157,1.5847,0.4153,1.6855,0.3145
35,255.67135,16841.86944,4.6783,0.02727553,0.00038674,9744870.0,0.37324,0.98863,0.94738,0.47294,12.92246,0.04421629,0.0,9744870.0,0.15026,0.98162,0.88212,0.30029,15.37489,0.04663354,0.0,9744870.0,0.17878,0.98008,0.87633,0.28574,True,1.4392,0.5608,1.7368,0.2632,1.6822,0.3178,1.6581,0.3419,1.7007,0.2993
53,257.38839,11875.09987,3.29864,0.02327188,0.00024587,9744870.0,0.37575,0.99034,0.96892,0.58201,13.39167,0.04643062,0.0,9744870.0,0.15572,0.98119,0.87214,0.29985,13.96418,0.04887143,0.0,9744870.0,0.16237,0.97984,0.87146,0.29021,True,1.5092,0.4908,1.8026,0.1974,1.7228,0.2772,1.5944,0.4056,1.6524,0.3476
43,256.57079,14423.50368,4.00653,0.02527931,0.00032725,9744870.0,0.37456,0.98952,0.95915,0.52781,13.01071,0.04550033,0.0,9744870.0,0.15129,0.98114,0.88086,0.30298,13.74639,0.04795259,0.0,9744870.0,0.15984,0.97966,0.87499,0.2918,True,1.5026,0.4974,1.8077,0.1923,1.7602,0.2398,1.5914,0.4086,1.6873,0.3127
mean,258.95476799999994,13318.41331,3.6995599999999995,0.024433150999999997,0.00028756299999999996,9744870.0,0.37803699999999996,0.9898640000000001,0.962739,0.548988,13.288333,0.04580907099999999,0.0,9744870.0,0.15451600000000001,0.981194,0.8780110000000001,0.301121,14.476620999999998,0.048347402000000005,0.0,9744870.0,0.16833299999999998,0.9797989999999999,0.87278,0.288653,1.0,1.4916099999999999,0.5083900000000001,1.78353,0.21647,1.7123599999999999,0.28764,1.6130799999999996,0.38692,1.65807,0.34192999999999996
std,2.4304416035170804,2024.7874357969326,0.5624399499798475,0.0016075924255057104,6.249081462280855e-05,0.0,0.003548314310266839,0.0006766124773047253,0.008054523159898007,0.043177090067148656,0.36946390712460414,0.0008419653778504722,0.0,0.0,0.004297684647962589,0.00017671068633977042,0.0036768810756461034,0.0013940863196612546,0.7276444991653241,0.0009445122581499698,0.0,0.0,0.00846317257297758,0.00016264822299810554,0.002798880728672318,0.0029775196612840857,0.0,0.021799360337200518,0.021799360337200514,0.026368838932851562,0.026368838932851534,0.02637457529937162,0.02637457529937159,0.02241045390982618,0.022410453909826208,0.025719730860869375,0.025719730860869355
