epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0.0,340.01092,33661.08086,9.3503,0.6974,0.0,9744870.0,0.49637,0.5036,0.49921,0.02138,18.65271,0.69746,0.0,9744870.0,0.21689,0.50458,0.49873,0.02581,20.00528,0.69831,0.0,9744870.0,0.23262,0.50403,0.49648,0.02691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,259.62672,29382.2444,8.16174,0.34022,0.0001,9744870.0,0.37902,0.91878,0.54145,0.02975,13.14117,0.13277,0.0,9744870.0,0.1528,0.9721,0.60128,0.04217,13.84576,0.13566,0.0,9744870.0,0.161,0.97035,0.59604,0.04338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,258.40819,27743.48192,7.70652,0.06911,0.0002,9744870.0,0.37724,0.97953,0.626,0.04316,13.90821,0.06314,0.0,9744870.0,0.16172,0.97601,0.71767,0.07465,13.85632,0.06506,0.0,9744870.0,0.16112,0.97437,0.71403,0.07793,1.03042,0.96958,1.01151,0.98849,1.00365,0.99635,0.98812,1.01188,0.99557,1.00443
3.0,259.17952,26813.40852,7.44817,0.04884,0.0003,9744870.0,0.37836,0.98107,0.73506,0.08005,13.23164,0.05629,0.0,9744870.0,0.15386,0.9765,0.77649,0.10842,14.09709,0.05876,0.0,9744870.0,0.16392,0.97512,0.77589,0.11078,1.03782,0.96218,1.01824,0.98176,1.01115,0.98885,1.00022,0.99978,1.01634,0.98366
4.0,259.50636,26157.90257,7.26608,0.04509,0.0004,9744870.0,0.37884,0.98191,0.79505,0.10932,13.22598,0.05382,0.0,9744870.0,0.15379,0.97674,0.80828,0.13842,13.94498,0.05636,0.0,9744870.0,0.16215,0.97543,0.80658,0.13737,1.04207,0.95792,1.02212,0.97787,1.01679,0.98321,1.01026,0.98974,1.0367,0.9633
5.0,259.48103,25633.99967,7.12055,0.04299,0.0005,9744870.0,0.3788,0.98261,0.82444,0.13391,13.14825,0.05235,0.0,9744870.0,0.15289,0.97772,0.82637,0.16064,13.84513,0.05482,0.0,9744870.0,0.16099,0.97638,0.82441,0.15709,1.04845,0.95155,1.02834,0.97166,1.0248,0.9752,1.03127,0.96873,1.08355,0.91645
6.0,259.91655,25191.432,6.99762,0.04127,0.0005,9744870.0,0.37944,0.98321,0.84461,0.15777,13.26671,0.05116,0.0,9744870.0,0.15426,0.97819,0.84002,0.1789,13.94452,0.05354,0.0,9744870.0,0.16214,0.97682,0.83756,0.17299,1.05566,0.94434,1.03925,0.96074,1.04043,0.95957,1.07158,0.92842,1.15936,0.84064
7.0,259.62854,24791.21506,6.88645,0.03998,0.0005,9744870.0,0.37902,0.98365,0.85673,0.17822,13.41591,0.04963,0.0,9744870.0,0.156,0.9787,0.85063,0.19231,13.96618,0.05199,0.0,9744870.0,0.1624,0.97728,0.8478,0.18585,1.06239,0.93761,1.05458,0.94542,1.0634,0.9366,1.12686,0.87314,1.23578,0.76422
8.0,259.70001,24422.96263,6.78416,0.03893,0.0005,9744870.0,0.37912,0.98402,0.86622,0.1956,13.31681,0.0486,0.0,9744870.0,0.15485,0.97922,0.85724,0.20304,14.16986,0.0509,0.0,9744870.0,0.16477,0.97783,0.85391,0.19761,1.07106,0.92893,1.07662,0.92338,1.09718,0.90282,1.19813,0.80187,1.30741,0.69259
9.0,258.99463,24070.07222,6.68613,0.03803,0.0005,9744870.0,0.3781,0.98436,0.87348,0.21285,13.18445,0.04815,0.0,9744870.0,0.15331,0.97944,0.86092,0.21275,14.73247,0.05038,0.0,9744870.0,0.17131,0.97812,0.85791,0.2085,1.08244,0.91756,1.10766,0.89233,1.14459,0.8554,1.27866,0.72134,1.36725,0.63276
10.0,258.45835,23729.9148,6.59164,0.03721,0.0005,9744870.0,0.37731,0.98468,0.88016,0.229,13.22765,0.04712,0.0,9744870.0,0.15381,0.97994,0.86609,0.22309,13.95498,0.04945,0.0,9744870.0,0.16227,0.97861,0.86271,0.21947,1.09862,0.9014,1.15262,0.84738,1.2057,0.7943,1.35477,0.64522,1.41525,0.58475
11.0,259.97552,23414.49978,6.50403,0.03643,0.0005,9744870.0,0.37953,0.98497,0.8859,0.24556,13.22706,0.0466,0.0,9744870.0,0.1538,0.9801,0.86999,0.23272,13.93042,0.04878,0.0,9744870.0,0.16198,0.97877,0.86662,0.23002,1.1171,0.8829,1.21173,0.78827,1.27637,0.72363,1.42016,0.57984,1.45762,0.5424
12.0,258.64312,23098.6971,6.4163,0.03573,0.00049,9744870.0,0.37758,0.98526,0.89059,0.26137,13.20596,0.04607,0.0,9744870.0,0.15356,0.98034,0.87183,0.23885,13.95142,0.04831,0.0,9744870.0,0.16222,0.97903,0.86878,0.23686,1.13745,0.86255,1.28074,0.71926,1.35097,0.64903,1.4723,0.52771,1.49304,0.50695
