epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,best_epoch,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,24.52148,49018.42963,13.61623,1.53098101,0.0,423737.0,0.07834,1.53098,-0.02743,-0.05036,4.15433,2.03822,0.73309,1.50417551,0.0,423737.0,0.02291,1.50418,-0.03567,-0.06399,4.07925,2.01972,0.68813,1.60082053,0.0,423737.0,0.0215,1.60082,-0.03317,-0.09843,4.20325,2.05018,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,18.61008,43088.42067,11.96901,1.14065057,2e-05,423737.0,0.05946,1.14065,0.29946,0.62645,2.83254,1.68302,0.60454,0.78867795,0.0,423737.0,0.01889,0.78868,0.54492,0.82474,1.79247,1.33883,0.60176,0.8359118,0.0,423737.0,0.01881,0.83591,0.5913,0.8371,1.66272,1.28947,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,19.2704,41538.89734,11.53858,0.69399324,4e-05,423737.0,0.06157,0.69399,0.63729,0.86767,1.46656,1.21102,0.60112,0.56310898,0.0,423737.0,0.01879,0.56311,0.68534,0.91516,1.23937,1.11327,0.59825,0.60646273,0.0,423737.0,0.0187,0.60646,0.73508,0.91023,1.07775,1.03815,,0.9991,1.0009,0.9972,1.0028,0.9992,1.0008,0.9982,1.0018,1.0017,0.9983,1.0003,0.9997,0.9988,1.0012,0.9978,1.0022,0.9999,1.0001,0.9993,1.0007
3,18.37202,40306.20824,11.19617,0.58874103,6e-05,423737.0,0.0587,0.58874,0.69742,0.90711,1.22345,1.1061,0.59992,0.48993483,0.0,423737.0,0.01875,0.48993,0.72327,0.93928,1.08998,1.04402,0.60214,0.55228213,0.0,423737.0,0.01882,0.55228,0.77516,0.92961,0.91471,0.9564,,1.0001,0.9999,0.996,1.004,0.9999,1.0001,0.999,1.001,1.0026,0.9974,1.0009,0.9991,0.9996,1.0004,0.9975,1.0025,0.9999,1.0001,0.9997,1.0003
4,18.12903,39462.29381,10.96175,0.5381827,8e-05,423737.0,0.05792,0.53818,0.72754,0.92092,1.10168,1.04961,0.5983,0.45993611,0.0,423737.0,0.0187,0.45994,0.7381,0.94767,1.03154,1.01565,0.59808,0.48907484,0.0,423737.0,0.01869,0.48907,0.80266,0.94443,0.80286,0.89602,,1.004,0.996,0.998,1.002,1.0021,0.9979,1.0008,0.9992,1.0047,0.9953,1.0019,0.9981,1.0011,0.9989,0.9979,1.0021,1.0005,0.9995,1.0006,0.9993
5,18.59352,39048.00644,10.84667,0.50265367,0.0001,423737.0,0.0594,0.50265,0.7531,0.93201,0.9983,0.99915,0.59868,0.51670249,0.0,423737.0,0.01871,0.5167,0.71973,0.95091,1.1039,1.05067,0.60528,0.52680822,0.0,423737.0,0.01891,0.52681,0.80458,0.95085,0.79502,0.89164,,1.0101,0.9899,1.0014,0.9986,1.0059,0.9941,1.0029,0.9971,1.0073,0.9927,1.0042,0.9958,1.0046,0.9954,0.9997,1.0003,1.0009,0.9991,1.0023,0.9977
6,18.81977,38811.19145,10.78089,0.47487542,0.00012,423737.0,0.06013,0.47488,0.7708,0.93847,0.92673,0.96267,0.59507,0.42370398,0.0,423737.0,0.0186,0.4237,0.76635,0.9526,0.92028,0.95931,0.60369,0.41626482,0.0,423737.0,0.01887,0.41626,0.86284,0.95196,0.558,0.74699,,1.0171,0.9829,1.0048,0.9952,1.0096,0.9904,1.0064,0.9936,1.0107,0.9893,1.0071,0.9929,1.0086,0.9914,1.0015,0.9985,1.0039,0.9961,1.0036,0.9964
7,18.48939,38546.6119,10.70739,0.47110459,0.00014,423737.0,0.05907,0.4711,0.77942,0.93984,0.89191,0.94441,0.58935,0.40489155,0.0,423737.0,0.01842,0.40489,0.75198,0.95194,0.9769,0.98838,0.60991,0.41111241,0.0,423737.0,0.01906,0.41111,0.8519,0.95229,0.60252,0.77622,,1.0254,0.9746,1.0085,0.9915,1.0153,0.9847,1.0109,0.9891,1.0151,0.9849,1.0098,0.9902,1.0127,0.9873,1.0045,0.9955,1.0061,0.9939,1.006,0.994
8,18.6935,38381.87269,10.66163,0.45126977,0.00016,423737.0,0.05972,0.45127,0.78451,0.94608,0.8713,0.93344,0.59813,0.48066953,0.0,423737.0,0.01869,0.48067,0.74011,0.96142,1.02363,1.01175,0.59618,0.48157414,0.0,423737.0,0.01863,0.48157,0.83491,0.95903,0.67163,0.81953,,1.0337,0.9663,1.014,0.986,1.0197,0.9803,1.0155,0.9845,1.0185,0.9815,1.0141,0.9859,1.0169,0.983,1.0082,0.9918,1.0096,0.9904,1.0087,0.9913
9,18.19859,38147.85469,10.59663,0.42770292,0.00018,423737.0,0.05814,0.4277,0.79692,0.95078,0.82114,0.90617,0.58148,0.59659569,0.0,423737.0,0.01817,0.5966,0.69294,0.95831,1.20943,1.09974,0.59563,0.58624783,0.0,423737.0,0.01861,0.58625,0.80668,0.95701,0.7865,0.88685,,1.0405,0.9595,1.018,0.982,1.0277,0.9723,1.0205,0.9795,1.023,0.977,1.0181,0.9819,1.0205,0.9795,1.0121,0.9879,1.0132,0.9868,1.0103,0.9897
10,17.91252,37901.35059,10.52815,0.41432181,0.0002,423737.0,0.05723,0.41432,0.80526,0.95458,0.7874,0.88736,0.59972,0.41025926,0.0,423737.0,0.01874,0.41026,0.79487,0.96284,0.80796,0.89887,0.59964,0.36612337,0.0,423737.0,0.01874,0.36612,0.91542,0.96573,0.34411,0.58661,,1.0519,0.9481,1.0232,0.9768,1.0374,0.9627,1.0253,0.9747,1.0286,0.9714,1.0228,0.9772,1.0237,0.9763,1.0181,0.9819,1.0162,0.9838,1.0146,0.9854
11,18.35858,37766.84247,10.49079,0.41673967,0.00022,423737.0,0.05865,0.41674,0.8063,0.95344,0.78319,0.88498,0.59758,0.35581093,0.0,423737.0,0.01867,0.35581,0.79588,0.96607,0.80398,0.89665,0.59288,0.33905697,0.0,423737.0,0.01853,0.33906,0.91,0.96985,0.36615,0.6051,,1.0593,0.9407,1.0283,0.9717,1.0417,0.9583,1.0303,0.9697,1.0335,0.9665,1.0291,0.9709,1.0279,0.9721,1.0216,0.9784,1.0192,0.9808,1.0208,0.9792
12,18.12878,37615.07972,10.44863,0.39097654,0.00024,423737.0,0.05792,0.39098,0.81708,0.95919,0.7396,0.86,0.59973,0.35821093,0.0,423737.0,0.01874,0.35821,0.79484,0.9674,0.80806,0.89892,0.59891,0.33037676,0.0,423737.0,0.01872,0.33038,0.91581,0.96674,0.3425,0.58523,,1.0654,0.9346,1.0314,0.9686,1.0499,0.9501,1.0383,0.9617,1.0388,0.9612,1.0338,0.9662,1.0306,0.9694,1.0256,0.9744,1.0265,0.9735,1.0254,0.9746
