epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0.0,31.45141,62871.36636,17.46427,1.64277,0.0,423737.0,0.10048,1.64277,-0.1799,-0.04132,4.77081,2.18073,0.97035,1.6291,0.0,423737.0,0.03032,1.6291,-0.20762,-0.05352,4.7565,2.17635,0.93139,1.71831,0.0,423737.0,0.02911,1.71831,-0.18866,-0.06983,4.83583,2.19482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,22.57752,53974.89454,14.99303,1.07612,2e-05,423737.0,0.07213,1.07612,0.3498,0.67248,2.62902,1.62093,0.75537,0.75024,0.0,423737.0,0.0236,0.75024,0.58112,0.85198,1.64988,1.28419,0.7497,0.79471,0.0,423737.0,0.02343,0.79471,0.64027,0.85191,1.46347,1.20891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,22.95244,51243.92403,14.23442,0.68329,4e-05,423737.0,0.07333,0.68329,0.65181,0.87581,1.40788,1.18619,0.74345,0.57258,0.0,423737.0,0.02323,0.57258,0.68348,0.91839,1.24671,1.11611,0.74285,0.59553,0.0,423737.0,0.02321,0.59552,0.75046,0.91753,1.01521,1.00703,1.00048,0.99952,0.99972,1.00028,1.00009,0.99991,1.00059,0.99941,1.00044,0.99957,0.99985,1.00015,0.99967,1.00033,1.00004,0.99996,0.99976,1.00024,0.99974,1.00026
3.0,23.21726,49999.10967,13.88864,0.589,6e-05,423737.0,0.07418,0.589,0.70701,0.90729,1.18467,1.0882,0.76025,0.51645,0.0,423737.0,0.02376,0.51645,0.7153,0.93612,1.12137,1.05836,0.75725,0.53817,0.0,423737.0,0.02366,0.53817,0.78847,0.93318,0.86057,0.92702,1.00136,0.99864,1.00084,0.99916,1.00113,0.99887,1.00132,0.99868,1.00127,0.99873,1.00041,0.99959,1.00001,0.99999,1.00016,0.99983,0.99986,1.00014,0.99982,1.00018
4.0,22.82393,49085.9955,13.635,0.54486,8e-05,423737.0,0.07292,0.54486,0.73518,0.92085,1.07077,1.03468,0.78486,0.47158,0.0,423737.0,0.02453,0.47158,0.73729,0.94522,1.03473,1.01693,0.76084,0.48386,0.0,423737.0,0.02378,0.48386,0.81803,0.94289,0.74033,0.85967,1.00457,0.99543,1.00357,0.99643,1.00342,0.99659,1.00288,0.99712,1.003,0.997,1.00209,0.99791,1.00125,0.99875,1.0011,0.9989,1.00088,0.99912,1.00085,0.99914
5.0,22.80412,48463.06161,13.46196,0.5156,0.0001,423737.0,0.07286,0.5156,0.75207,0.929,1.00246,1.00118,0.74929,0.48117,0.0,423737.0,0.02341,0.48117,0.73502,0.94961,1.04368,1.02108,0.7508,0.48262,0.0,423737.0,0.02346,0.48262,0.82718,0.9501,0.70308,0.83708,1.00896,0.99104,1.00719,0.99281,1.00641,0.99359,1.00498,0.99502,1.00543,0.99457,1.00417,0.99583,1.00311,0.99689,1.00258,0.99742,1.00194,0.99805,1.00219,0.99781
6.0,22.60183,47953.99844,13.32056,0.49311,0.00012,423737.0,0.07221,0.49311,0.76475,0.93506,0.95121,0.97527,0.75068,0.4462,0.0,423737.0,0.02346,0.4462,0.75151,0.95336,0.97875,0.98889,0.75966,0.44177,0.0,423737.0,0.02374,0.44177,0.851,0.95417,0.60616,0.77724,1.01441,0.98559,1.01129,0.98871,1.0103,0.9897,1.00785,0.99215,1.00847,0.99153,1.00708,0.99292,1.00581,0.99419,1.00465,0.99536,1.004,0.996,1.00382,0.99618
7.0,23.03411,47674.18796,13.24283,0.4742,0.00014,423737.0,0.07359,0.4742,0.77607,0.93992,0.90543,0.95147,0.77702,0.44911,0.0,423737.0,0.02428,0.44911,0.75122,0.95662,0.97991,0.98981,0.76187,0.44101,0.0,423737.0,0.02381,0.44101,0.85627,0.95777,0.58474,0.76452,1.01983,0.98017,1.01603,0.98397,1.01451,0.9855,1.01133,0.98867,1.01215,0.98785,1.01037,0.98963,1.00877,0.99123,1.00732,0.99268,1.00617,0.99383,1.00601,0.99399
8.0,22.68198,47373.54016,13.15932,0.45997,0.00016,423737.0,0.07247,0.45997,0.78453,0.94397,0.87124,0.93337,0.76515,0.47149,0.0,423737.0,0.02391,0.47149,0.74698,0.9573,0.9966,0.99663,0.76425,0.45499,0.0,423737.0,0.02388,0.45499,0.8575,0.95895,0.57974,0.75816,1.02579,0.97421,1.02161,0.97839,1.01841,0.9816,1.01515,0.98485,1.01598,0.98402,1.01426,0.98574,1.01237,0.98762,1.01059,0.98941,1.00854,0.99146,1.00908,0.99092
9.0,23.07757,47207.20815,13.11311,0.44219,0.00018,423737.0,0.07373,0.44219,0.79337,0.94799,0.83547,0.91401,0.77184,0.43949,0.0,423737.0,0.02412,0.43949,0.75959,0.95897,0.9469,0.97136,0.77173,0.42199,0.0,423737.0,0.02412,0.42199,0.87672,0.96108,0.50153,0.70287,1.03224,0.96776,1.02707,0.97293,1.02386,0.97614,1.01967,0.98033,1.02041,0.97959,1.01865,0.98135,1.01645,0.98355,1.01437,0.98563,1.01123,0.98877,1.0126,0.9874
10.0,23.03181,47058.64762,13.07185,0.4273,0.0002,423737.0,0.07359,0.4273,0.80195,0.95119,0.80079,0.89482,0.75927,0.39299,0.0,423737.0,0.02373,0.39299,0.78406,0.96463,0.85054,0.92195,0.75966,0.3656,0.0,423737.0,0.02374,0.3656,0.90509,0.96676,0.38614,0.62057,1.03883,0.96117,1.03304,0.96696,1.02928,0.97074,1.0246,0.97539,1.02523,0.97477,1.02323,0.97677,1.02084,0.97917,1.01825,0.98175,1.01427,0.98574,1.01617,0.98383
11.0,23.31926,46978.62984,13.04962,0.42008,0.00022,423737.0,0.0745,0.42008,0.80545,0.95276,0.78665,0.88691,0.7708,0.39902,0.0,423737.0,0.02408,0.39902,0.77954,0.96441,0.86832,0.93142,0.76932,0.38045,0.0,423737.0,0.02404,0.38045,0.89759,0.96626,0.41665,0.64307,1.04535,0.95465,1.0386,0.9614,1.03548,0.96452,1.03023,0.96978,1.03099,0.96902,1.02855,0.97145,1.02575,0.97425,1.02265,0.97735,1.01915,0.98085,1.02141,0.97858
12.0,23.72315,46969.06845,13.04696,0.40712,0.00024,423737.0,0.07579,0.40712,0.81183,0.95587,0.76084,0.87221,0.77701,0.38671,0.0,423737.0,0.02428,0.38671,0.7912,0.96787,0.8224,0.90647,0.76819,0.36048,0.0,423737.0,0.02401,0.36048,0.91139,0.96923,0.36048,0.59914,1.05123,0.94877,1.04401,0.95599,1.04086,0.95914,1.03579,0.96421,1.03528,0.96471,1.03371,0.96629,1.03144,0.96856,1.02724,0.97276,1.02413,0.97587,1.0277,0.9723
13.0,23.16305,46878.02936,13.02167,0.39639,0.00026,423737.0,0.074,0.39639,0.81578,0.95794,0.74489,0.86303,0.7576,0.38958,0.0,423737.0,0.02368,0.38958,0.78568,0.96855,0.84415,0.91803,0.75618,0.36368,0.0,423737.0,0.02363,0.36368,0.90843,0.97015,0.37255,0.60842,1.05757,0.94243,1.05007,0.94993,1.04737,0.95264,1.04112,0.95888,1.042,0.958,1.0395,0.96049,1.03719,0.96281,1.03266,0.96734,1.02999,0.97001,1.03367,0.96633
14.0,22.95059,46767.9249,12.99109,0.38421,0.00028,423737.0,0.07332,0.38421,0.81879,0.9606,0.73269,0.85592,0.75264,0.34752,0.0,423737.0,0.02352,0.34752,0.7995,0.97014,0.78973,0.8883,0.75575,0.31683,0.0,423737.0,0.02362,0.31683,0.91834,0.97258,0.33224,0.57538,1.06341,0.93658,1.05601,0.94399,1.05274,0.94726,1.04726,0.95275,1.04843,0.95157,1.04439,0.95561,1.04319,0.95681,1.03842,0.96158,1.0359,0.9641,1.04096,0.95904
15.0,23.22366,46702.57501,12.97294,0.37575,0.0003,423737.0,0.0742,0.37575,0.82343,0.96229,0.71392,0.84491,0.80739,0.38755,0.0,423737.0,0.02523,0.38756,0.78151,0.97132,0.86057,0.92694,0.80318,0.36865,0.0,423737.0,0.0251,0.36865,0.90517,0.97261,0.3858,0.61902,1.06823,0.93178,1.06153,0.93847,1.05845,0.94155,1.05238,0.94762,1.05354,0.94646,1.04974,0.95026,1.04896,0.95104,1.04463,0.95537,1.04256,0.95744,1.04891,0.95109
16.0,23.42334,46665.47407,12.96263,0.36887,0.00032,423737.0,0.07484,0.36887,0.82562,0.96356,0.7051,0.83967,0.7922,0.35924,0.0,423737.0,0.02476,0.35924,0.79876,0.96994,0.79262,0.89002,0.77031,0.3271,0.0,423737.0,0.02407,0.3271,0.92005,0.97181,0.32525,0.56723,1.07285,0.92714,1.06699,0.93301,1.06404,0.93596,1.05781,0.9422,1.0594,0.9406,1.05593,0.94408,1.05495,0.94505,1.05053,0.94948,1.04863,0.95137,1.05529,0.94471
17.0,23.40105,46627.43798,12.95207,0.36265,0.00034,423737.0,0.07476,0.36265,0.82787,0.96489,0.69601,0.83425,0.77098,0.36693,0.0,423737.0,0.02409,0.36693,0.78905,0.97424,0.83088,0.90952,0.76811,0.34255,0.0,423737.0,0.024,0.34255,0.90554,0.97443,0.38428,0.61008,1.07734,0.92267,1.07302,0.92698,1.07005,0.92995,1.0621,0.93791,1.06442,0.93556,1.06232,0.93768,1.06093,0.93907,1.05749,0.94251,1.05532,0.94468,1.06334,0.93667
18.0,23.54373,46605.81893,12.94606,0.35385,0.00036,423737.0,0.07522,0.35385,0.82914,0.96599,0.69087,0.83115,0.8169,0.32547,0.0,423737.0,0.02553,0.32547,0.80512,0.97554,0.76759,0.87571,0.76657,0.29627,0.0,423737.0,0.02396,0.29627,0.92465,0.97538,0.30654,0.55066,1.08114,0.91886,1.07798,0.92202,1.07527,0.92473,1.06833,0.93168,1.07114,0.92886,1.06807,0.93193,1.06754,0.93247,1.06391,0.93609,1.06231,0.93769,1.07244,0.92756
19.0,23.30441,46560.31475,12.93342,0.34692,0.00038,423737.0,0.07446,0.34692,0.82979,0.96711,0.68823,0.82957,0.74654,0.32914,0.0,423737.0,0.02333,0.32914,0.80319,0.97542,0.77519,0.88001,0.77283,0.30239,0.0,423737.0,0.02415,0.30239,0.92476,0.97576,0.30608,0.55124,1.08363,0.91637,1.08265,0.91735,1.07991,0.92009,1.0717,0.9283,1.07504,0.92496,1.07352,0.92648,1.07192,0.92808,1.06931,0.93069,1.06809,0.93191,1.08085,0.91915
20.0,22.92928,46481.57306,12.91155,0.34151,0.0004,423737.0,0.07326,0.34151,0.83329,0.968,0.67406,0.82095,0.77582,0.32742,0.0,423737.0,0.02424,0.32742,0.80196,0.97491,0.78001,0.88256,0.77943,0.29572,0.0,423737.0,0.02436,0.29572,0.92329,0.97608,0.31209,0.55578,1.08669,0.91331,1.08768,0.91232,1.0858,0.91419,1.07722,0.92278,1.08026,0.91974,1.07993,0.92007,1.07799,0.92201,1.07589,0.92409,1.07551,0.92449,1.09011,0.90989
21.0,22.74798,46391.60429,12.88656,0.33489,0.00042,423737.0,0.07268,0.33489,0.83427,0.96916,0.67012,0.81858,0.76528,0.34005,0.0,423737.0,0.02391,0.34005,0.80359,0.97721,0.77362,0.87923,0.77593,0.30612,0.0,423737.0,0.02425,0.30613,0.92635,0.97645,0.29961,0.54656,1.08886,0.91113,1.09191,0.90809,1.08999,0.91,1.08342,0.91658,1.08498,0.91502,1.08579,0.91421,1.08516,0.91484,1.08364,0.91637,1.0821,0.9179,1.09891,0.90109
22.0,22.89824,46320.39712,12.86678,0.33279,0.00044,423737.0,0.07316,0.33279,0.83636,0.96926,0.66166,0.81337,0.80611,0.34158,0.0,423737.0,0.02519,0.34158,0.79364,0.97353,0.8128,0.8993,0.79505,0.3129,0.0,423737.0,0.02484,0.3129,0.91414,0.97355,0.34931,0.58112,1.09037,0.90963,1.09623,0.90377,1.096,0.904,1.08835,0.91166,1.08855,0.91144,1.09156,0.90844,1.09049,0.90951,1.08961,0.91039,1.09016,0.90984,1.10712,0.89287
23.0,22.63669,46231.68113,12.84213,0.32586,0.00046,423737.0,0.07232,0.32586,0.83911,0.97022,0.65054,0.80653,0.77327,0.3439,0.0,423737.0,0.02417,0.3439,0.79981,0.97786,0.78848,0.88722,0.77704,0.31837,0.0,423737.0,0.02428,0.31837,0.91266,0.97649,0.35532,0.59068,1.09095,0.90905,1.0994,0.9006,1.09848,0.90152,1.09178,0.90822,1.09312,0.90688,1.09663,0.90337,1.09658,0.90342,1.09713,0.90287,1.09608,0.90392,1.11393,0.88606
24.0,22.21272,46114.75843,12.80965,0.32015,0.00048,423737.0,0.07097,0.32014,0.83916,0.97126,0.65035,0.80639,0.76424,0.33326,0.0,423737.0,0.02388,0.33326,0.8074,0.97774,0.7586,0.87026,0.77163,0.30853,0.0,423737.0,0.02411,0.30853,0.9223,0.97654,0.3161,0.55447,1.09177,0.90822,1.10379,0.89621,1.10185,0.89815,1.09643,0.90359,1.09804,0.90196,1.1016,0.8984,1.10362,0.89639,1.10313,0.89687,1.10289,0.89712,1.12143,0.87857
25.0,22.4255,46021.27538,12.78369,0.31686,0.0005,423737.0,0.07165,0.31686,0.84042,0.9715,0.64524,0.80324,0.76851,0.33634,0.0,423737.0,0.02402,0.33634,0.80043,0.97879,0.78604,0.88613,0.75174,0.31174,0.0,423737.0,0.02349,0.31174,0.92041,0.97764,0.32379,0.56531,1.09071,0.90929,1.10707,0.89292,1.10535,0.89465,1.10057,0.89942,1.10094,0.89906,1.10688,0.89312,1.10882,0.89118,1.10963,0.89037,1.1091,0.8909,1.12771,0.87228
26.0,22.78905,45959.62252,12.76656,0.31689,0.00052,423737.0,0.07281,0.31689,0.8396,0.97157,0.64858,0.80533,0.73898,0.30955,0.0,423737.0,0.02309,0.30955,0.81146,0.97964,0.74263,0.86142,0.76353,0.27427,0.0,423737.0,0.02386,0.27427,0.93268,0.9783,0.27389,0.521,1.09076,0.90924,1.11084,0.88916,1.11047,0.88953,1.10366,0.89635,1.10569,0.89431,1.112,0.88801,1.11452,0.88548,1.11568,0.88432,1.11559,0.88441,1.13494,0.86505
27.0,22.30201,45866.44342,12.74068,0.31071,0.00054,423737.0,0.07125,0.31071,0.84193,0.9727,0.63913,0.79944,0.75195,0.32077,0.0,423737.0,0.0235,0.32077,0.809,0.97846,0.75228,0.867,0.76307,0.29848,0.0,423737.0,0.02384,0.29848,0.92499,0.97571,0.30517,0.54779,1.08977,0.91024,1.11389,0.88611,1.11353,0.88647,1.10689,0.89311,1.10912,0.89087,1.11812,0.88188,1.11946,0.88054,1.12288,0.87712,1.12214,0.87787,1.14258,0.85742
28.0,24.99038,45960.8693,12.76691,0.30754,0.00056,423737.0,0.07984,0.30754,0.84328,0.97281,0.6337,0.79603,0.95399,0.3008,0.0,423737.0,0.02981,0.3008,0.81368,0.98043,0.73387,0.85652,0.95816,0.27317,0.0,423737.0,0.02994,0.27317,0.93298,0.97934,0.27267,0.52084,1.08871,0.91129,1.11775,0.88225,1.1188,0.8812,1.11205,0.88796,1.11331,0.88669,1.12256,0.87744,1.12629,0.87371,1.13031,0.86969,1.12669,0.87331,1.14957,0.85043
29.0,25.88943,46106.37186,12.80733,0.30831,0.00058,423737.0,0.08271,0.30831,0.84207,0.97258,0.63856,0.79904,0.93318,0.31159,0.0,423737.0,0.02916,0.31159,0.80591,0.97838,0.76446,0.87372,0.93096,0.28827,0.0,423737.0,0.02909,0.28827,0.92289,0.97691,0.31373,0.55566,1.08872,0.91128,1.12119,0.8788,1.12358,0.87642,1.11623,0.88378,1.11717,0.88283,1.12862,0.87138,1.13291,0.86709,1.13674,0.86326,1.13385,0.86615,1.15778,0.84222
30.0,25.24992,46200.19754,12.83339,0.30313,0.0006,423737.0,0.08067,0.30313,0.84471,0.97352,0.62792,0.79235,0.94145,0.30999,0.0,423737.0,0.02942,0.30999,0.81198,0.98073,0.74058,0.8598,0.94667,0.28197,0.0,423737.0,0.02958,0.28197,0.93285,0.97823,0.27319,0.51948,1.08552,0.91448,1.12387,0.87613,1.12622,0.87378,1.11802,0.88199,1.12173,0.87827,1.13391,0.86609,1.13856,0.86143,1.14516,0.85484,1.13889,0.86111,1.16574,0.83426
31.0,25.73377,46316.33754,12.86565,0.30047,0.00062,423737.0,0.08222,0.30047,0.84533,0.97433,0.62539,0.79071,0.93771,0.3285,0.0,423737.0,0.0293,0.3285,0.80791,0.98095,0.75659,0.86887,0.93248,0.30531,0.0,423737.0,0.02914,0.30531,0.92555,0.9794,0.30288,0.54454,1.08539,0.91461,1.12602,0.87399,1.13017,0.86983,1.12116,0.87884,1.12868,0.87132,1.14057,0.85943,1.14426,0.85575,1.15293,0.84707,1.14484,0.85516,1.17465,0.82535
32.0,25.7182,46422.95109,12.89526,0.30177,0.00064,423737.0,0.08216,0.30177,0.8445,0.97371,0.62872,0.79287,0.9373,0.29435,0.0,423737.0,0.02929,0.29435,0.81959,0.98115,0.71057,0.84272,0.94362,0.26274,0.0,423737.0,0.02949,0.26274,0.93899,0.98008,0.2482,0.4976,1.08226,0.91774,1.13096,0.86904,1.13387,0.86613,1.1264,0.8736,1.13245,0.86755,1.14631,0.85369,1.14852,0.85147,1.15949,0.84051,1.14981,0.85018,1.18184,0.81816
33.0,25.69017,46520.15983,12.92227,0.29778,0.00066,423737.0,0.08208,0.29778,0.84596,0.97427,0.62286,0.7892,0.74192,0.32049,0.0,423737.0,0.02318,0.32049,0.80988,0.97478,0.74885,0.86389,0.73683,0.29254,0.0,423737.0,0.02302,0.29254,0.9278,0.97379,0.29372,0.53284,1.07872,0.92127,1.13376,0.86625,1.13845,0.86155,1.12929,0.87071,1.13412,0.86588,1.14975,0.85025,1.15388,0.84612,1.16427,0.83573,1.15521,0.84479,1.18972,0.81028
34.0,23.11172,46465.58381,12.90711,0.29876,0.00068,423737.0,0.07384,0.29876,0.84354,0.97369,0.63264,0.79532,0.79678,0.34211,0.0,423737.0,0.0249,0.34211,0.80402,0.97754,0.77192,0.878,0.79112,0.31601,0.0,423737.0,0.02472,0.31601,0.92424,0.97627,0.30822,0.55201,1.07511,0.92489,1.13333,0.86667,1.14251,0.85749,1.13433,0.86567,1.14015,0.85985,1.15553,0.84447,1.15945,0.84055,1.17123,0.82877,1.1622,0.8378,1.19603,0.80397
35.0,23.48127,46432.9171,12.89803,0.29878,0.0007,423737.0,0.07502,0.29878,0.84467,0.97398,0.62806,0.79241,0.75457,0.31023,0.0,423737.0,0.02358,0.31023,0.81306,0.98173,0.7363,0.85693,0.75258,0.28397,0.0,423737.0,0.02352,0.28397,0.93028,0.98022,0.28366,0.52807,1.07173,0.92826,1.13595,0.86405,1.14402,0.85598,1.13933,0.86068,1.14427,0.85573,1.15969,0.84031,1.16531,0.83468,1.17843,0.82157,1.16786,0.83214,1.20402,0.79597
36.0,23.43341,46398.20779,12.88839,0.29571,0.00072,423737.0,0.07487,0.29571,0.84519,0.97432,0.62594,0.79113,0.75642,0.31062,0.0,423737.0,0.02364,0.31062,0.8123,0.97994,0.73931,0.85884,0.75656,0.2864,0.0,423737.0,0.02364,0.2864,0.92551,0.97756,0.30306,0.54432,1.06775,0.93224,1.13568,0.86432,1.14815,0.85185,1.14175,0.85825,1.14706,0.85294,1.16654,0.83346,1.17175,0.82825,1.18562,0.81437,1.17366,0.82635,1.21142,0.78858
37.0,23.98319,46392.47768,12.8868,0.29596,0.00074,423737.0,0.07662,0.29596,0.84437,0.97414,0.62928,0.79314,0.74355,0.30517,0.0,423737.0,0.02324,0.30517,0.80344,0.97511,0.7742,0.87807,0.75219,0.28322,0.0,423737.0,0.02351,0.28322,0.91312,0.97363,0.35344,0.58401,1.06535,0.93465,1.13981,0.8602,1.15292,0.84708,1.14842,0.85159,1.15285,0.84714,1.17009,0.82989,1.17575,0.82425,1.19084,0.80915,1.17933,0.82066,1.21994,0.78007
38.0,23.41502,46357.24291,12.87701,0.29414,0.00076,423737.0,0.07481,0.29414,0.84353,0.97395,0.63267,0.79528,0.76508,0.30856,0.0,423737.0,0.02391,0.30856,0.81882,0.98188,0.71362,0.84419,0.74037,0.28105,0.0,423737.0,0.02314,0.28105,0.93606,0.97946,0.26014,0.50849,1.06183,0.93817,1.14012,0.85988,1.15415,0.84585,1.14805,0.85195,1.157,0.843,1.17561,0.82439,1.18137,0.81862,1.19841,0.80159,1.18524,0.81475,1.22666,0.77334
39.0,23.62358,46332.81844,12.87023,0.28958,0.00078,423737.0,0.07547,0.28958,0.84627,0.97513,0.62159,0.78838,0.74161,0.29492,0.0,423737.0,0.02318,0.29492,0.81128,0.97363,0.74332,0.85902,0.73549,0.26854,0.0,423737.0,0.02298,0.26854,0.92577,0.97211,0.30197,0.53003,1.05661,0.94339,1.14047,0.85953,1.16075,0.83926,1.15605,0.84395,1.16107,0.83893,1.18174,0.81826,1.18592,0.81408,1.20609,0.79391,1.1912,0.8088,1.23556,0.76444
40.0,23.65138,46309.76173,12.86382,0.29163,0.0008,423737.0,0.07556,0.29163,0.84497,0.97461,0.62685,0.79163,0.73465,0.29824,0.0,423737.0,0.02296,0.29824,0.81348,0.98159,0.73468,0.85664,0.73718,0.27255,0.0,423737.0,0.02304,0.27255,0.93238,0.97893,0.27509,0.52276,1.05269,0.94731,1.14504,0.85497,1.16488,0.83512,1.15944,0.84056,1.16922,0.83078,1.18765,0.81234,1.19337,0.80663,1.21361,0.78639,1.19656,0.80344,1.24338,0.75661
41.0,22.99468,46256.06186,12.8489,0.28924,0.00082,423737.0,0.07347,0.28924,0.84781,0.97548,0.61536,0.7844,0.7378,0.28873,0.0,423737.0,0.02306,0.28873,0.81309,0.9799,0.7362,0.85704,0.73332,0.26202,0.0,423737.0,0.02292,0.26202,0.93509,0.97808,0.26408,0.51065,1.04865,0.95135,1.14682,0.85319,1.16798,0.83202,1.16359,0.83641,1.17516,0.82483,1.19049,0.80951,1.19956,0.80044,1.21592,0.78408,1.20186,0.79815,1.25121,0.74879
42.0,23.25846,46215.795,12.83772,0.28808,0.00084,423737.0,0.07431,0.28807,0.84809,0.97513,0.61425,0.78368,0.7355,0.2918,0.0,423737.0,0.02298,0.2918,0.81208,0.97964,0.74017,0.85986,0.75046,0.27519,0.0,423737.0,0.02345,0.27519,0.92104,0.97625,0.32125,0.55799,1.04111,0.95888,1.1495,0.8505,1.17318,0.82682,1.16786,0.83213,1.18206,0.81795,1.19759,0.8024,1.20734,0.79265,1.2244,0.7756,1.2075,0.79249,1.25868,0.74132
43.0,23.53194,46188.45869,12.83013,0.29035,0.00086,423737.0,0.07518,0.29035,0.84495,0.97493,0.62693,0.79177,0.76371,0.31761,0.0,423737.0,0.02387,0.31761,0.78442,0.96617,0.8491,0.90352,0.74089,0.29931,0.0,423737.0,0.02315,0.29931,0.89574,0.96407,0.42418,0.59886,1.03742,0.96258,1.14864,0.85136,1.17554,0.82447,1.17354,0.82646,1.1885,0.81151,1.20196,0.79804,1.2124,0.78759,1.2286,0.7714,1.21222,0.78778,1.26809,0.73191
44.0,24.24731,46192.37029,12.83121,0.28562,0.00088,423737.0,0.07747,0.28562,0.84694,0.97546,0.61889,0.78666,0.77022,0.30051,0.0,423737.0,0.02407,0.30051,0.81134,0.98016,0.7431,0.86113,0.77203,0.27042,0.0,423737.0,0.02413,0.27042,0.93194,0.97916,0.27691,0.52327,1.02977,0.97023,1.14909,0.8509,1.18059,0.81941,1.17762,0.82239,1.19433,0.80567,1.20862,0.79138,1.21732,0.78268,1.23574,0.76426,1.21761,0.78238,1.27857,0.72144
45.0,24.35128,46199.47403,12.83319,0.28696,0.0009,423737.0,0.0778,0.28696,0.84759,0.97522,0.61625,0.78495,0.76774,0.28818,0.0,423737.0,0.02399,0.28818,0.81596,0.98173,0.72487,0.85126,0.75635,0.26413,0.0,423737.0,0.02364,0.26413,0.93312,0.97951,0.2721,0.52092,1.0255,0.97451,1.15151,0.84849,1.18848,0.81152,1.17926,0.82074,1.19957,0.80042,1.21239,0.78762,1.22441,0.77558,1.24486,0.75513,1.22443,0.77558,1.28546,0.71455
46.0,24.0599,46193.13186,12.83142,0.28632,0.00092,423737.0,0.07687,0.28632,0.84679,0.97515,0.61947,0.78698,0.76596,0.31415,0.0,423737.0,0.02394,0.31415,0.81349,0.98166,0.73461,0.85648,0.75767,0.28789,0.0,423737.0,0.02368,0.28789,0.93396,0.97939,0.26868,0.51702,1.02201,0.97799,1.15156,0.84844,1.19336,0.80665,1.18803,0.81196,1.20838,0.79162,1.22303,0.77698,1.228,0.772,1.25041,0.74958,1.22778,0.77221,1.29623,0.70377
47.0,23.48813,46162.79916,12.823,0.28519,0.00094,423737.0,0.07504,0.28519,0.84646,0.97547,0.62085,0.78787,0.81536,0.30269,0.0,423737.0,0.02548,0.30269,0.81703,0.98068,0.72068,0.84807,0.81168,0.2773,0.0,423737.0,0.02536,0.2773,0.93197,0.97874,0.27678,0.5226,1.01349,0.98651,1.15213,0.84786,1.19685,0.80315,1.19492,0.80509,1.21397,0.78601,1.2306,0.7694,1.23633,0.76367,1.25604,0.74397,1.23324,0.76676,1.30487,0.69512
48.0,24.48268,46172.34536,12.82566,0.28849,0.00096,423737.0,0.07822,0.28849,0.84507,0.97487,0.62642,0.79141,0.82652,0.28073,0.0,423737.0,0.02583,0.28073,0.82214,0.98256,0.70056,0.83655,0.83433,0.25328,0.0,423737.0,0.02607,0.25328,0.93895,0.97994,0.24839,0.49567,1.00774,0.99225,1.15106,0.84894,1.1999,0.8001,1.1977,0.80229,1.21972,0.78028,1.23478,0.76522,1.23671,0.7633,1.26103,0.73897,1.23772,0.76228,1.31488,0.68511
