Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,0,79.55354,7875.80015,2.18772,0.68210432,0.0,558693,0.07731,0.78378,0.02641,0.13312,0.04407,0.47292,3.54657,0.67853223,0.0,558693,0.02749,0.8196,0.01182,0.09877,0.02111,0.45797,3.98822,0.67942437,0.0,558693,0.03092,0.78264,0.02956,0.18462,0.05096,0.48582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,67.7484,7217.79493,2.00494,0.4121895,2e-05,558693,0.06584,0.95833,0.02721,0.00325,0.0058,0.53894,3.13318,0.185964,0.0,558693,0.02429,0.98031,0.0,0.0,0.0,0.61346,3.14764,0.20524587,0.0,558693,0.0244,0.96839,0.0,0.0,0.0,0.61894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,67.76271,6953.75703,1.9316,0.16804731,4e-05,558693,0.06585,0.96255,0.0,0.0,0.0,0.61839,3.12063,0.09855544,0.0,558693,0.02419,0.98031,0.0,0.0,0.0,0.70015,3.0916,0.13050181,0.0,558693,0.02397,0.96839,0.0,0.0,0.0,0.73064,0.991,1.009,0.9925,1.0075,0.9842,1.0158,0.9965,1.0035,0.9941,1.0059,0.9883,1.0117,0.9895,1.0105,0.9912,1.0088,0.9853,1.0147,0.9763,1.0237
3,3,67.55627,6782.90213,1.88414,0.14479067,6e-05,558693,0.06565,0.96255,0.0,0.0,0.0,0.7159,3.12494,0.08730625,0.0,558693,0.02422,0.98031,0.0,0.0,0.0,0.71335,3.09533,0.12248254,0.0,558693,0.02399,0.96839,0.0,0.0,0.0,0.72428,0.9928,1.0072,0.9969,1.0031,0.9865,1.0135,0.9983,1.0017,0.9921,1.0079,0.9862,1.0138,0.9902,1.0098,0.9914,1.0086,0.9839,1.0161,0.975,1.025
4,4,67.45615,6651.46441,1.84763,0.13628895,8e-05,558693,0.06556,0.96255,0.0,0.0,0.0,0.76024,3.15776,0.08813686,0.0,558693,0.02448,0.98031,0.0,0.0,0.0,0.74255,3.11399,0.12025961,0.0,558693,0.02414,0.96839,0.0,0.0,0.0,0.75484,0.999,1.001,1.0024,0.9976,0.9938,1.0062,1.0008,0.9992,0.9924,1.0076,0.9847,1.0153,0.9906,1.0094,0.9921,1.0079,0.9845,1.0155,0.975,1.025
5,5,68.02251,6550.22688,1.81951,0.13200783,0.0001,558693,0.06611,0.96265,1.0,0.00244,0.00486,0.77297,3.13694,0.0861629,0.0,558693,0.02432,0.98055,1.0,0.01235,0.02439,0.72766,3.11399,0.1172676,0.0,558693,0.02414,0.96839,0.0,0.0,0.0,0.76663,1.0021,0.9979,1.0098,0.9902,1.0014,0.9986,1.0076,0.9924,0.9954,1.0045,0.9855,1.0145,0.9969,1.0031,0.9942,1.0058,0.9862,1.0138,0.9761,1.0239
6,6,69.80726,6482.191,1.80061,0.12728331,9.997e-05,558693,0.06784,0.96362,0.61438,0.0763,0.13574,0.79376,3.13227,0.08480811,0.0,558693,0.02428,0.98152,0.66667,0.12346,0.20833,0.75609,3.11881,0.12089985,0.0,558693,0.02418,0.97107,0.66667,0.16923,0.26994,0.75026,1.0101,0.9899,1.0167,0.9833,1.008,0.992,1.0093,0.9907,0.999,1.001,0.9865,1.0135,1.0037,0.9963,0.9969,1.0031,0.9894,1.0106,0.9791,1.0209
7,7,68.17421,6394.93213,1.77637,0.12337333,9.989e-05,558693,0.06625,0.96514,0.65568,0.14529,0.23787,0.80929,3.1383,0.08548134,0.0,558693,0.02433,0.98104,0.56,0.17284,0.26415,0.73645,3.11782,0.1183024,0.0,558693,0.02417,0.97009,0.56604,0.23077,0.32787,0.75381,1.0134,0.9866,1.0203,0.9797,1.0141,0.9859,1.0131,0.9869,1.0033,0.9967,0.9879,1.0121,1.0093,0.9907,0.9997,1.0003,0.9921,1.0079,0.9822,1.0178
8,8,67.96446,6309.79353,1.75272,0.12034814,9.975e-05,558693,0.06605,0.96547,0.6194,0.20211,0.30477,0.81887,3.12593,0.08015198,0.0,558693,0.02423,0.98104,0.55556,0.18519,0.27778,0.78289,3.22178,0.11557141,0.0,558693,0.02498,0.97082,0.60417,0.22308,0.32584,0.76149,1.018,0.982,1.0267,0.9733,1.0199,0.9801,1.0212,0.9788,1.0097,0.9903,0.988,1.012,1.0147,0.9853,1.0022,0.9978,0.9939,1.0061,0.9842,1.0158
9,9,67.98843,6228.30553,1.73008,0.11654999,9.956e-05,558693,0.06607,0.96669,0.65596,0.23214,0.34293,0.8299,3.17684,0.07658469,0.0,558693,0.02463,0.98128,0.6,0.14815,0.23762,0.79489,3.19578,0.11574887,0.0,558693,0.02477,0.97034,0.78571,0.08462,0.15278,0.78075,1.0231,0.9769,1.0279,0.9721,1.0234,0.9766,1.0259,0.9742,1.014,0.986,0.9907,1.0093,1.0198,0.9802,1.0045,0.9955,0.9974,1.0027,0.9874,1.0126
