Unnamed: 0,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_precision,train_recall,train_f1,train_auc,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_precision,val_recall,val_f1,val_auc,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_precision,test_recall,test_f1,test_auc,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,0,73.85964,7312.10388,2.03114,0.79160898,0.0,559965,0.07178,0.03748,0.03745,1.0,0.07219,0.5561,3.58712,0.79657472,0.0,559965,0.02781,0.01969,0.01969,1.0,0.03863,0.53256,3.55315,0.79389984,0.0,559965,0.02754,0.03161,0.03161,1.0,0.06128,0.57868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,71.83129,7138.85548,1.98302,0.49187608,2e-05,559965,0.06981,0.7673,0.04697,0.27029,0.08003,0.55979,3.76975,0.26788874,0.0,559965,0.02922,0.97715,0.06667,0.01235,0.02083,0.66189,3.74865,0.26784002,0.0,559965,0.02906,0.96718,0.30769,0.03077,0.05594,0.67473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,71.38669,7018.84308,1.94968,0.19046125,4e-05,559965,0.06937,0.96246,0.38462,0.00406,0.00803,0.61159,3.75169,0.1035188,0.0,559965,0.02908,0.98031,0.0,0.0,0.0,0.66586,3.73146,0.13050367,0.0,559965,0.02893,0.96839,0.0,0.0,0.0,0.71024,0.9862,1.0138,1.0025,0.9975,0.9925,1.0075,0.9896,1.0104,0.9936,1.0064,0.9978,1.0022,0.9935,1.0065,0.9977,1.0023,0.995,1.005,0.9868,1.0132
3,3,71.21771,6919.08797,1.92197,0.14728741,6e-05,559965,0.06921,0.96265,0.55556,0.01218,0.02383,0.69377,3.78336,0.08464155,0.0,559965,0.02933,0.98152,0.64706,0.1358,0.22449,0.72982,3.77618,0.11806015,0.0,559965,0.02927,0.9718,0.70588,0.18462,0.29268,0.72664,0.9861,1.0139,1.0031,0.9969,0.9869,1.0131,0.983,1.017,0.9909,1.0091,0.995,1.005,0.9878,1.0122,0.999,1.001,0.9984,1.0016,0.9882,1.0118
4,4,71.27083,6831.75711,1.89771,0.1390573,8e-05,559965,0.06926,0.96398,0.688,0.06981,0.12675,0.73153,3.75665,0.08100951,0.0,559965,0.02912,0.98152,0.66667,0.12346,0.20833,0.77539,3.75816,0.11649084,0.0,559965,0.02913,0.97155,0.80952,0.13077,0.22517,0.74883,0.9889,1.0111,1.0046,0.9954,0.988,1.012,0.9795,1.0205,0.9914,1.0086,0.992,1.008,0.986,1.014,1.0005,0.9995,0.9977,1.0023,0.9892,1.0108
5,5,71.25991,6749.60852,1.87489,0.13330022,0.0001,559965,0.06925,0.96429,0.63768,0.10714,0.18346,0.76538,3.75394,0.0764747,0.0,559965,0.0291,0.98177,0.63636,0.17284,0.27184,0.81357,3.7367,0.11892719,0.0,559965,0.02897,0.97204,0.69231,0.20769,0.31953,0.7326,0.9937,1.0063,1.0128,0.9872,0.9944,1.0056,0.984,1.016,0.9984,1.0016,0.9895,1.0105,0.9881,1.0119,1.0026,0.9974,0.9989,1.0011,0.9903,1.0097
6,6,68.59618,6635.18138,1.84311,0.12837777,9.997e-05,559965,0.06666,0.96517,0.6558,0.14692,0.24005,0.78854,3.16734,0.0797409,0.0,559965,0.02455,0.98152,0.59259,0.19753,0.2963,0.77864,3.15482,0.11496224,0.0,559965,0.02446,0.9718,0.65217,0.23077,0.34091,0.7559,1.0008,0.9992,1.0218,0.9782,1.0021,0.9979,0.9864,1.0136,1.0052,0.9948,0.9871,1.0129,0.9948,1.0052,1.0036,0.9964,0.9983,1.0017,0.9906,1.0094
7,7,64.77603,6488.28022,1.8023,0.12562376,9.989e-05,559965,0.06295,0.9652,0.62536,0.17614,0.27486,0.79378,3.756,0.08192677,0.0,559965,0.02912,0.9786,0.42857,0.25926,0.32308,0.80087,3.74127,0.12285214,0.0,559965,0.029,0.96766,0.48052,0.28462,0.35749,0.75225,1.0101,0.9899,1.0303,0.9697,1.0109,0.9891,0.9893,1.0107,1.0099,0.9901,0.9863,1.0137,0.999,1.001,1.0041,0.9959,1.0015,0.9985,0.993,1.007
8,8,71.95692,6432.2359,1.78673,0.12183089,9.975e-05,559965,0.06993,0.96559,0.625,0.20292,0.30637,0.80759,3.90629,0.07111599,0.0,559965,0.03028,0.98201,0.6129,0.23457,0.33929,0.82197,3.92105,0.12302592,0.0,559965,0.0304,0.97082,0.77778,0.10769,0.18919,0.72789,1.0157,0.9843,1.0352,0.9648,1.0187,0.9813,0.9961,1.0039,1.017,0.983,0.9882,1.0118,1.0031,0.9969,1.007,0.993,1.0027,0.9973,0.9959,1.0041
9,9,80.12299,6446.50366,1.7907,0.11786274,9.956e-05,559965,0.07786,0.96705,0.66087,0.24675,0.35934,0.82714,3.32025,0.07017604,0.0,559965,0.02574,0.98249,0.65517,0.23457,0.34545,0.80202,3.2734,0.11542002,0.0,559965,0.02538,0.97204,0.71429,0.19231,0.30303,0.74627,1.0212,0.9788,1.0395,0.9605,1.0228,0.9772,1.0013,0.9987,1.0235,0.9765,0.9894,1.0106,1.007,0.993,1.0084,0.9916,1.0047,0.9953,0.9996,1.0004
10,10,67.15516,6338.68794,1.76075,0.1165292,9.932e-05,559965,0.06526,0.96745,0.66462,0.2638,0.37769,0.82751,3.12441,0.08225623,0.0,559965,0.02422,0.97593,0.36765,0.30864,0.33557,0.82164,3.36927,0.1310424,0.0,559965,0.02612,0.96596,0.41379,0.18462,0.25532,0.73873,1.0241,0.9759,1.042,0.958,1.0282,0.9719,1.0061,0.9939,1.0262,0.9738,0.9909,1.0091,1.0096,0.9904,1.009,0.991,1.0072,0.9928,1.0026,0.9974
