,epoch,train_time_epoch,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_time_iter,train_accuracy,train_auc,train_ap,val_time_epoch,val_loss,val_lr,val_params,val_time_iter,val_accuracy,val_auc,val_ap,test_time_epoch,test_loss,test_lr,test_params,test_time_iter,test_accuracy,test_auc,test_ap,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5
0,0,344.53189,34108.65691,9.47463,0.70017564,0.0,9745818,0.50297,0.49477,0.51124,0.02067,21.36732,0.70442501,0.0,9745818,0.24846,0.47955,0.51733,0.02758,23.85902,0.705769,0.0,9745818,0.27743,0.47956,0.50611,0.028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,263.78912,29807.72932,8.27992,0.37259665,0.0001,9745818,0.38509,0.91387,0.54299,0.03137,13.83184,0.19368876,0.0,9745818,0.16084,0.96449,0.58868,0.03947,14.53526,0.23232485,0.0,9745818,0.16901,0.96275,0.58113,0.04009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,263.1703,28178.21902,7.82728,0.07680691,0.0002,9745818,0.38419,0.97917,0.61339,0.04274,13.37506,0.06431583,0.0,9745818,0.15552,0.97527,0.72895,0.07712,14.03102,0.06654843,0.0,9745818,0.16315,0.97393,0.72543,0.08241,1.0082,0.9918,1.0031,0.9969,0.991,1.009,0.9964,1.0036,1.0084,0.9916
3,3,260.44282,27166.41922,7.54623,0.04906953,0.0003,9745818,0.38021,0.98126,0.72713,0.08109,15.11804,0.0562911,0.0,9745818,0.17579,0.97717,0.76385,0.10616,14.02746,0.05888969,0.0,9745818,0.16311,0.97564,0.75882,0.10967,1.0136,0.9864,1.0108,0.9892,1.0037,0.9963,1.0083,0.9917,1.0264,0.9736
4,4,259.27097,26432.89689,7.34247,0.04536869,0.0004,9745818,0.3785,0.98196,0.79014,0.10726,13.31809,0.05402515,0.0,9745818,0.15486,0.97774,0.80587,0.13009,14.0287,0.05662556,0.0,9745818,0.16312,0.97615,0.80175,0.13276,1.0176,0.9824,1.0137,0.9863,1.0089,0.9911,1.0174,0.9826,1.0445,0.9555
5,5,262.19767,25903.31013,7.19536,0.04342241,0.0005,9745818,0.38277,0.98263,0.818,0.12689,13.34982,0.05186311,0.0,9745818,0.15523,0.97841,0.82683,0.15451,14.03024,0.05438267,0.0,9745818,0.16314,0.97707,0.8222,0.15187,1.0253,0.9747,1.0197,0.9803,1.0206,0.9794,1.0427,0.9573,1.09,0.91
6,6,259.75946,25417.72679,7.06048,0.04168198,0.00049986,9745818,0.37921,0.98319,0.84015,0.15077,13.36054,0.05067985,0.0,9745818,0.15536,0.97856,0.83445,0.1731,14.06301,0.05299938,0.0,9745818,0.16352,0.97752,0.83196,0.17097,1.0353,0.9647,1.031,0.969,1.0453,0.9547,1.1011,0.8989,1.1717,0.8283
7,7,262.55423,25020.73926,6.95021,0.040272,0.00049945,9745818,0.38329,0.98354,0.85292,0.17116,13.32849,0.04873729,0.0,9745818,0.15498,0.97882,0.85099,0.19272,14.09349,0.05088774,0.0,9745818,0.16388,0.97787,0.84869,0.18631,1.045,0.955,1.0454,0.9546,1.0778,0.9222,1.1799,0.8201,1.265,0.735
8,8,261.29321,24640.87552,6.84469,0.0391736,0.00049877,9745818,0.38145,0.98386,0.86342,0.191,13.37695,0.048545,0.0,9745818,0.15555,0.97915,0.85928,0.20378,14.05201,0.05083529,0.0,9745818,0.1634,0.97776,0.85505,0.20169,1.0562,0.9438,1.0661,0.9339,1.1228,0.8772,1.2757,0.7243,1.3447,0.6553
9,9,261.06957,24282.7131,6.7452,0.03821974,0.00049782,9745818,0.38112,0.98434,0.87083,0.20804,13.39964,0.04814594,0.0,9745818,0.15581,0.9788,0.86105,0.21379,14.03216,0.05046133,0.0,9745818,0.16316,0.9777,0.85811,0.20997,1.0719,0.9281,1.0946,0.9054,1.1802,0.8198,1.3702,0.6298,1.4114,0.5886
