Unnamed: 0,epoch,train_epoch_time,train_eta,train_eta_hours,train_loss,train_lr,train_params,train_iter_time,train_mae,train_r2,train_spearmanr,train_mse,train_rmse,val_epoch_time,val_loss,val_lr,val_params,val_iter_time,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,test_epoch_time,test_loss,test_lr,test_params,test_iter_time,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,mpnn_param_layer_1,global_attention_param_layer_1,mpnn_param_layer_2,global_attention_param_layer_2,mpnn_param_layer_3,global_attention_param_layer_3,mpnn_param_layer_4,global_attention_param_layer_4,mpnn_param_layer_5,global_attention_param_layer_5,mpnn_param_layer_6,global_attention_param_layer_6,mpnn_param_layer_7,global_attention_param_layer_7,mpnn_param_layer_8,global_attention_param_layer_8,mpnn_param_layer_9,global_attention_param_layer_9,mpnn_param_layer_10,global_attention_param_layer_10
0,0,22.17581,44329.44057,12.31373,1.63573487,0.0,423737,0.07085,1.63573,-0.09919,0.00932,4.44446,2.10819,0.69677,1.60688929,0.0,423737,0.02177,1.60689,-0.10233,0.01995,4.34182,2.0837,0.68446,1.69778284,0.0,423737,0.02139,1.69778,-0.0958,0.01264,4.45806,2.11141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,14.61776,36756.77576,10.21022,1.05958534,2e-05,423737,0.0467,1.05959,0.36453,0.67491,2.56947,1.60296,0.72359,0.72871145,0.0,423737,0.02261,0.72871,0.60119,0.84933,1.57081,1.25332,0.72124,0.79016628,0.0,423737,0.02254,0.79017,0.66894,0.84493,1.34685,1.16054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2,15.65357,34912.31538,9.69787,0.66966257,4e-05,423737,0.05001,0.66966,0.65802,0.878,1.38277,1.17591,0.7245,0.54693673,0.0,423737,0.02264,0.54694,0.68783,0.92127,1.22955,1.10885,0.72025,0.57490487,0.0,423737,0.02251,0.5749,0.74609,0.9182,1.03299,1.01636,1.0016,0.9984,0.9996,1.0004,1.0001,0.9999,1.0009,0.9991,1.0011,0.9989,1.0009,0.9991,1.001,0.999,1.0021,0.9979,1.0005,0.9995,0.9982,1.0018
3,3,15.63691,33973.94199,9.43721,0.58793277,6e-05,423737,0.04996,0.58793,0.70515,0.90552,1.1922,1.09188,0.72437,0.49501351,0.0,423737,0.02264,0.49501,0.72567,0.93771,1.08053,1.03949,0.72174,0.51663601,0.0,423737,0.02255,0.51664,0.80285,0.93342,0.80205,0.89557,1.0024,0.9976,1.0011,0.9989,0.9995,1.0005,1.0005,0.9995,1.0021,0.9979,1.0014,0.9986,1.0012,0.9988,1.0025,0.9975,1.0004,0.9996,0.9976,1.0024
4,4,15.66193,33414.64765,9.28185,0.5405648,8e-05,423737,0.05004,0.54056,0.73244,0.91943,1.08184,1.04012,0.72624,0.45144175,0.0,423737,0.0227,0.45144,0.74784,0.95057,0.99318,0.99658,0.72205,0.46507966,0.0,423737,0.02256,0.46508,0.82389,0.9485,0.71647,0.84645,1.005,0.995,1.005,0.995,1.0016,0.9984,1.0012,0.9988,1.0052,0.9948,1.0032,0.9968,1.0025,0.9975,1.0042,0.9958,1.0013,0.9987,0.999,1.001
5,5,15.66137,33036.3768,9.17677,0.51057902,0.0001,423737,0.05004,0.51058,0.75034,0.9301,1.00948,1.00473,0.72303,0.47618246,0.0,423737,0.02259,0.47618,0.75459,0.94633,0.9666,0.98316,0.72472,0.47395782,0.0,423737,0.02265,0.47396,0.8415,0.94758,0.64482,0.80301,1.0079,0.9921,1.0107,0.9893,1.0032,0.9968,1.0022,0.9978,1.0074,0.9926,1.0051,0.9949,1.0045,0.9955,1.0059,0.9941,1.0031,0.9969,0.9997,1.0003
6,6,15.63079,32753.00391,9.09806,0.48133868,0.00012,423737,0.04994,0.48134,0.7632,0.93787,0.95748,0.97851,0.7233,0.44214033,0.0,423737,0.0226,0.44214,0.75516,0.94743,0.96436,0.98202,0.71947,0.422904,0.0,423737,0.02248,0.4229,0.85541,0.95149,0.58823,0.76696,1.0121,0.9879,1.0183,0.9817,1.0062,0.9938,1.0045,0.9955,1.0105,0.9895,1.0074,0.9926,1.0073,0.9927,1.0084,0.9916,1.004,0.996,1.0017,0.9983
7,7,15.64757,32540.74356,9.0391,0.47292346,0.00014,423737,0.04999,0.47292,0.77422,0.93972,0.91293,0.95548,0.72311,0.44578033,0.0,423737,0.0226,0.44578,0.76922,0.95601,0.90898,0.9534,0.72298,0.42753252,0.0,423737,0.02259,0.42753,0.87465,0.95882,0.50994,0.7141,1.0163,0.9837,1.0241,0.9759,1.0085,0.9915,1.0082,0.9918,1.014,0.986,1.0102,0.9898,1.0105,0.9895,1.0104,0.9896,1.0071,0.9929,1.0046,0.9954
8,8,15.6398,32370.45639,8.99179,0.45899498,0.00016,423737,0.04997,0.45899,0.78006,0.94356,0.88932,0.94304,0.72308,0.39904368,0.0,423737,0.0226,0.39904,0.76479,0.96119,0.92644,0.96252,0.72059,0.3972101,0.0,423737,0.02252,0.39721,0.86514,0.95986,0.54864,0.7407,1.0225,0.9775,1.0336,0.9664,1.0119,0.9881,1.0139,0.9861,1.0179,0.9821,1.0139,0.9861,1.0138,0.9862,1.0136,0.9864,1.01,0.99,1.0062,0.9938
9,9,15.57348,32217.90023,8.94942,0.44317532,0.00018,423737,0.04976,0.44318,0.78948,0.94758,0.85121,0.92261,0.71689,0.40036818,0.0,423737,0.0224,0.40037,0.77263,0.95579,0.89554,0.94633,0.71566,0.38599447,0.0,423737,0.02236,0.38599,0.88698,0.95708,0.45981,0.67809,1.0286,0.9714,1.0423,0.9577,1.0177,0.9823,1.0177,0.9823,1.0208,0.9792,1.0158,0.9842,1.0175,0.9825,1.0162,0.9838,1.0123,0.9877,1.0127,0.9873
10,10,15.60004,32095.05255,8.91529,0.43558078,0.0002,423737,0.04984,0.43558,0.79309,0.9478,0.83661,0.91466,0.72134,0.38414672,0.0,423737,0.02254,0.38415,0.79077,0.96382,0.82412,0.90781,0.72003,0.35846694,0.0,423737,0.0225,0.35847,0.9096,0.96547,0.36779,0.60646,1.0337,0.9663,1.0515,0.9485,1.0242,0.9758,1.0226,0.9774,1.0263,0.9737,1.0187,0.9813,1.0215,0.9785,1.0187,0.9813,1.016,0.984,1.0188,0.9812
11,11,15.63624,31996.07697,8.8878,0.42151596,0.00022,423737,0.04996,0.42152,0.80339,0.94997,0.79498,0.89162,0.72403,0.34894051,0.0,423737,0.02263,0.34894,0.78915,0.96515,0.83047,0.9113,0.72175,0.33111989,0.0,423737,0.02255,0.33112,0.9064,0.96297,0.38078,0.61708,1.0396,0.9604,1.0615,0.9385,1.0296,0.9704,1.028,0.972,1.032,0.968,1.0211,0.9789,1.0267,0.9733,1.0221,0.9779,1.0186,0.9814,1.0262,0.9738
12,12,15.57823,31901.05617,8.8614,0.41760228,0.00024,423737,0.04977,0.4176,0.80625,0.9526,0.78343,0.88511,0.72343,0.36263649,0.0,423737,0.02261,0.36264,0.78843,0.96945,0.83332,0.91286,0.75079,0.34940748,0.0,423737,0.02346,0.34941,0.9042,0.97195,0.38974,0.62429,1.0456,0.9544,1.0708,0.9292,1.0326,0.9674,1.035,0.965,1.0358,0.9642,1.0252,0.9748,1.0315,0.9686,1.0262,0.9738,1.0248,0.9752,1.0323,0.9677
13,13,15.42481,31795.62026,8.83212,0.40552438,0.00026,423737,0.04928,0.40552,0.81061,0.95617,0.76579,0.87509,0.60136,0.34100423,0.0,423737,0.01879,0.341,0.81173,0.96981,0.74155,0.86113,0.63586,0.32314151,0.0,423737,0.01987,0.32314,0.92134,0.97102,0.32003,0.56571,1.0514,0.9486,1.0802,0.9198,1.0411,0.9589,1.0404,0.9596,1.0414,0.9586,1.0269,0.9731,1.0369,0.9631,1.0295,0.9705,1.0278,0.9722,1.0415,0.9585
14,14,15.14129,31664.66705,8.79574,0.38522453,0.00028,423737,0.04837,0.38522,0.81952,0.9592,0.72977,0.85426,0.77723,0.36601355,0.0,423737,0.02429,0.36601,0.78455,0.96593,0.84862,0.92121,0.72018,0.336451,0.0,423737,0.02251,0.33645,0.90787,0.96767,0.3748,0.61221,1.0572,0.9428,1.0889,0.9111,1.0457,0.9543,1.0485,0.9515,1.0472,0.9528,1.0324,0.9676,1.0466,0.9534,1.0333,0.9667,1.0375,0.9625,1.0535,0.9465
15,15,15.71992,31619.94064,8.78332,0.3800054,0.0003,423737,0.05022,0.38001,0.82358,0.96122,0.71333,0.84459,0.72349,0.35527204,0.0,423737,0.02261,0.35527,0.80639,0.96805,0.7626,0.87327,0.75034,0.32503275,0.0,423737,0.02345,0.32503,0.91355,0.97518,0.35169,0.59303,1.0617,0.9383,1.0987,0.9013,1.0497,0.9503,1.0555,0.9445,1.0535,0.9465,1.0375,0.9625,1.051,0.9491,1.0373,0.9627,1.0408,0.9592,1.0629,0.9371
16,16,15.04147,31499.48729,8.74986,0.37187934,0.00032,423737,0.04806,0.37188,0.82548,0.96289,0.70564,0.84002,0.59355,0.47024182,0.0,423737,0.01855,0.47024,0.76337,0.97049,0.93203,0.96542,0.61424,0.44199545,0.0,423737,0.0192,0.442,0.89413,0.97006,0.4307,0.65628,1.0671,0.9329,1.1078,0.8922,1.056,0.944,1.059,0.941,1.0584,0.9416,1.0435,0.9565,1.0589,0.9411,1.042,0.958,1.0474,0.9526,1.074,0.926
17,17,16.10915,31508.30973,8.75231,0.36194566,0.00034,423737,0.05147,0.36195,0.82929,0.96408,0.69026,0.83082,0.63168,0.32694691,0.0,423737,0.01974,0.32695,0.80281,0.97539,0.77668,0.88129,0.6294,0.3121751,0.0,423737,0.01967,0.31218,0.90316,0.97274,0.39396,0.62766,1.0674,0.9326,1.1164,0.8836,1.0612,0.9388,1.064,0.936,1.0636,0.9364,1.0488,0.9512,1.064,0.936,1.0457,0.9543,1.0539,0.9461,1.0881,0.9119
18,18,17.73629,31684.15841,8.80116,0.35232584,0.00036,423737,0.05667,0.35233,0.82879,0.96551,0.69225,0.83202,0.62839,0.34194889,0.0,423737,0.01964,0.34195,0.80734,0.96725,0.75882,0.8711,0.60724,0.28607219,0.0,423737,0.01898,0.28607,0.93088,0.97583,0.28121,0.53029,1.0753,0.9247,1.1242,0.8758,1.0659,0.9341,1.0679,0.9321,1.0671,0.9329,1.0544,0.9456,1.0699,0.9301,1.0479,0.9521,1.0563,0.9437,1.1022,0.8978
19,19,15.80046,31649.0017,8.79139,0.35724203,0.00038,423737,0.05048,0.35724,0.82755,0.96536,0.69729,0.83504,0.61946,0.32846486,0.0,423737,0.01936,0.32846,0.80495,0.97667,0.76824,0.87649,0.60907,0.29947224,0.0,423737,0.01903,0.29947,0.9268,0.97757,0.29779,0.5457,1.0802,0.9198,1.133,0.867,1.0714,0.9286,1.072,0.928,1.0702,0.9298,1.0591,0.9409,1.0745,0.9255,1.0516,0.9484,1.064,0.936,1.113,0.887
20,20,14.21933,31466.68616,8.74075,0.34291941,0.0004,423737,0.04543,0.34292,0.83045,0.96706,0.68557,0.82799,0.60026,0.34218689,0.0,423737,0.01876,0.34219,0.79191,0.97319,0.8196,0.90532,0.5979,0.30883294,0.0,423737,0.01868,0.30883,0.91576,0.97639,0.34273,0.58543,1.0814,0.9186,1.1373,0.8627,1.0758,0.9242,1.0758,0.9242,1.0717,0.9283,1.0665,0.9335,1.0811,0.9189,1.0547,0.9453,1.0727,0.9273,1.1282,0.8718
21,21,14.08618,31287.68054,8.69102,0.35240227,0.00042,423737,0.045,0.3524,0.8279,0.96597,0.69588,0.83419,0.58847,0.32667023,0.0,423737,0.01839,0.32667,0.80433,0.97472,0.77071,0.8779,0.61834,0.30287357,0.0,423737,0.01932,0.30287,0.92049,0.9769,0.32346,0.56874,1.0815,0.9185,1.1429,0.8571,1.0812,0.9189,1.0725,0.9275,1.079,0.921,1.0718,0.9282,1.0903,0.9097,1.0593,0.9407,1.0829,0.9171,1.1392,0.8608
22,22,14.00688,31116.19929,8.64339,0.33837485,0.00044,423737,0.04475,0.33837,0.83289,0.96852,0.6757,0.82201,0.58739,0.31455317,0.0,423737,0.01836,0.31455,0.79788,0.97347,0.79608,0.89223,0.6029,0.28504031,0.0,423737,0.01884,0.28504,0.92156,0.97208,0.31913,0.56492,1.0824,0.9176,1.1483,0.8517,1.0827,0.9173,1.077,0.923,1.0824,0.9176,1.076,0.924,1.0969,0.9031,1.0624,0.9376,1.0904,0.9096,1.153,0.847
23,23,14.03833,30960.42997,8.60012,0.33013146,0.00046,423737,0.04485,0.33013,0.83944,0.9708,0.6492,0.80573,0.59766,0.36130903,0.0,423737,0.01868,0.36131,0.78652,0.97086,0.84086,0.91698,0.60075,0.33971299,0.0,423737,0.01877,0.33971,0.89464,0.96536,0.42862,0.65469,1.0824,0.9176,1.158,0.842,1.088,0.9121,1.0823,0.9177,1.082,0.918,1.0862,0.9138,1.1012,0.8988,1.0671,0.9329,1.0983,0.9017,1.1621,0.8379
24,24,13.95575,30809.47569,8.55819,0.33078843,0.00048,423737,0.04459,0.33079,0.83788,0.9694,0.65551,0.80964,0.5865,0.31012565,0.0,423737,0.01833,0.31013,0.80737,0.97612,0.75871,0.87104,0.58495,0.27215997,0.0,423737,0.01828,0.27216,0.93722,0.9801,0.25541,0.50538,1.085,0.915,1.1634,0.8366,1.0965,0.9035,1.0839,0.9161,1.0876,0.9124,1.0857,0.9143,1.1051,0.8949,1.07,0.93,1.1017,0.8983,1.1719,0.8281
25,25,14.03168,30674.82418,8.52078,0.32556272,0.0005,423737,0.04483,0.32556,0.83286,0.9697,0.67581,0.82207,0.58801,0.30609634,0.0,423737,0.01838,0.3061,0.81327,0.9793,0.73549,0.8576,0.58519,0.27056943,0.0,423737,0.01829,0.27057,0.93422,0.97765,0.26762,0.51732,1.0884,0.9116,1.1675,0.8325,1.0982,0.9018,1.0876,0.9124,1.094,0.906,1.0937,0.9063,1.1144,0.8856,1.0773,0.9227,1.1095,0.8905,1.1832,0.8168
26,26,13.98961,30546.03337,8.48501,0.31582292,0.00052,423737,0.0447,0.31582,0.84021,0.9709,0.6461,0.80381,0.58791,0.29325824,0.0,423737,0.01837,0.29326,0.8093,0.97881,0.75114,0.86668,0.60958,0.24856212,0.0,423737,0.01905,0.24856,0.93764,0.98057,0.25369,0.50368,1.0912,0.9088,1.1749,0.8251,1.0998,0.9002,1.0902,0.9098,1.0963,0.9037,1.1039,0.8961,1.1232,0.8768,1.0818,0.9182,1.1199,0.8801,1.1909,0.8091
27,27,14.02591,30427.99957,8.45222,0.32619342,0.00054,423737,0.04481,0.32619,0.83834,0.96952,0.65366,0.80849,0.58685,0.27819467,0.0,423737,0.01834,0.27819,0.81853,0.98252,0.71477,0.84544,0.58475,0.26508648,0.0,423737,0.01827,0.26509,0.93428,0.97854,0.26738,0.51708,1.0883,0.9117,1.1797,0.8203,1.1073,0.8927,1.0905,0.9095,1.1006,0.8994,1.1062,0.8938,1.1245,0.8755,1.0861,0.9139,1.1292,0.8708,1.1995,0.8006
